"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA -OUTUBRO DE 2023",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,RB,SL,AJU,NACIONAL
 PRODUTOS FARMACÊUTICOS,1.06,0.15,-0.7,-0.24,-0.13,1.29,-0.35,0.37,-0.75,0.26,0.21,-0.47,0.9,0.37,1.02,0.96,0.06
 ANTI-INFECCIOSO E ANTIBIÓTICO,2.16,-1.76,-1.21,2.39,0.03,0.54,-0.78,-0.35,-1.12,0.63,0.03,-1.86,-0.76,0.9,-1.76,1.46,-0.19
 ANALGÉSICO E ANTITÉRMICO,0.94,0.91,-0.07,0.08,-0.27,-0.26,0.12,1.71,0.46,-0.24,0.96,-0.92,0.96,1.58,1.29,0.8,0.21
 ANTI-INFLAMATÓRIO E ANTIRREUMÁTICO,-0.06,0.31,-1.39,-1.13,-0.89,0.9,-2.48,0.4,-1.9,1.04,-1,-1.2,0.09,1.08,0.78,3.29,-0.43
 ANTIGRIPAL E ANTITUSSÍGENO,1.8,0.19,-0.05,-0.51,2.46,-0.06,2.21,-0.34,-0.32,1.75,-0.72,-0.75,0.11,-0.18,2.14,1.58,1.11
 DERMATOLÓGICO,1.44,1.79,2.01,-1.75,1.05,-0.09,       -,0.31,0.59,0.55,       -,0.93,0.72,-0.34,2.81,1,0.89
 ANTIALÉRGICO E BRONCODILATADOR,1.09,-2.6,-0.46,0.16,-0.35,2.27,-2.17,-0.65,-0.16,-0.63,-1.43,0.05,-0.08,0.07,1.86,0.94,-0.3
 GASTROPROTETOR,-0.93,-1.16,-1.08,-1.37,-0.58,       -,-0.6,-0.47,0.42,0.93,0.54,-0.18,0.72,0.05,-0.09,1.65,-0.42
 VITAMINA E FORTIFICANTE,1.52,1.78,-0.48,0.44,0.15,2.08,0.44,0.07,1.34,0.32,2.24,1.23,0.25,-0.09,2.11,0.65,0.77
 HORMONAL,0.94,1.74,-1.02,-1.35,-1.68,2.3,-2.87,-0.26,-0.46,-2.17,0.23,-0.19,0.45,-0.01,2.66,-0.14,-0.52
 PSICOTRÓPICO E ANOREXÍGENO,1.84,0.26,-1.14,-0.22,0.1,1.95,-0.27,-0.25,-1.17,0.68,0.56,-1.67,2.01,-0.29,0.2,1.25,0.22
 HIPOTENSOR E HIPOCOLESTEROLÊMICO,1.82,0.48,-0.79,-0.89,1,2.97,-1.91,0.46,-2.62,0.94,-0.75,0.95,2.08,-0.55,0.42,0.11,0.34
 OFTALMOLÓGICO,1.81,-0.49,0.1,-0.72,-1.42,0.26,0.35,0.96,1.21,       -,0.76,0.67,0.86,       -,0.69,1.83,0.12
 ANTIDIABÉTICO,-0.15,-4.62,-2.17,2.35,-4.88,1,-0.52,1.04,-2.78,-0.5,0.38,-1.92,2,-0.05,0.91,-0.01,-2.2
 NEUROLÓGICO,-1.9,1.38,-0.99,0.51,1.76,2.7,0.46,0.12,-0.4,-2.12,-0.64,-0.56,2.68,0.94,0.7,1.28,0.06
 PRODUTOS ÓTICOS,-1.36,4.21,1.08,-2.46,2.43,1.18,0.38,2.42,-2.15,4.85,-1.1,-1.14,-0.35,-2.34,3.93,-2.85,1.35
 ÓCULOS DE GRAU,-1.36,4.21,1.08,-2.46,2.43,1.18,0.38,2.42,-2.15,4.85,-1.1,-1.14,-0.35,-2.34,3.93,-2.85,1.35
 SERVIÇOS DE SAÚDE,0.69,0.36,0.66,0.59,0.57,0.68,0.66,0.51,0.79,0.34,0.64,0.69,0.77,0.28,0.42,0.48,0.59
 SERVIÇOS MÉDICOS E DENTÁRIOS,0.74,-0.58,0.9,-0.03,0.05,0.54,0.47,-0.08,0.5,-0.43,0.4,0.46,0.95,-0.09,0.85,-0.36,0.23
 MÉDICO,0.17,-1.16,0.16,-0.07,0.04,1.44,0,0,0.17,-1.15,0,0,1.88,0,0.31,-0.53,-0.06
 DENTISTA,1.4,-0.13,1.64,0.05,0.07,0.09,1.74,-0.3,0.88,0.28,0.51,0.78,0.07,-0.67,1.97,0,0.52
 APARELHO ORTODÔNTICO,       -,       -,0.66,       -,       -,       -,       -,       -,       -,       -,2.3,       -,0.38,       -,       -,       -,0.97
 FISIOTERAPEUTA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.61,       -,       -,0.61
 PSICÓLOGO,0,0,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 SERVIÇOS LABORATORIAIS E HOSPITALARES,0.05,0.01,-0.25,-0.09,-0.11,0.24,0.64,-0.18,1.63,0.36,0.55,0.64,0.88,0,-0.35,-0.02,0.12
 EXAME DE LABORATÓRIO,1.04,0.05,0.06,0.07,-0.53,-0.1,0.69,0,2.94,-0.76,-0.63,0.23,2.22,0,-0.67,-0.29,0.21
 HOSPITALIZAÇÃO E CIRURGIA,0,0.03,-0.09,2.92,0.04,0.32,0.35,0,0.93,0.27,0.61,0.98,0,       -,0,0.35,0.15
 EXAME DE IMAGEM,-0.61,-0.08,-0.88,-1.93,-0.55,0.07,1.15,-0.45,1.25,1.74,1.24,0.42,0.54,0,-0.38,-0.46,-0.06
 PLANO DE SAÚDE,0.77,0.73,0.74,0.77,0.77,0.78,0.77,0.77,0.78,0.77,0.77,0.74,0.68,0.77,0.77,0.77,0.76
 PLANO DE SAÚDE,0.77,0.73,0.74,0.77,0.77,0.78,0.77,0.77,0.78,0.77,0.77,0.74,0.68,0.77,0.77,0.77,0.76
 CUIDADOS PESSOAIS,0.47,-0.14,0.05,-0.4,0.61,-0.66,0.33,0.29,-1.58,-0.4,0.62,0.36,0.38,0.25,-0.3,0.32,0.09
 HIGIENE PESSOAL,0.47,-0.14,0.05,-0.4,0.61,-0.66,0.33,0.29,-1.58,-0.4,0.62,0.36,0.38,0.25,-0.3,0.32,0.09
 PRODUTO PARA CABELO,0,1.05,0.64,-1.87,1.25,-1.61,-0.11,-0.91,-5.65,-0.52,0.49,1.32,0.69,-0.36,-0.67,-0.97,-0.08
 FRALDA DESCARTÁVEL,-0.75,1.7,-0.5,-0.62,1.25,1.93,-0.02,-2.01,-2.28,-0.61,0.29,-1.4,0.02,1.42,-0.19,0.22,0.07
 PRODUTO PARA BARBA,1.98,-0.96,-2.61,-1.96,-0.26,1.38,1.47,0.09,-2.36,-0.61,-0.83,1.61,-0.21,0.11,-0.27,1.48,-0.56
 PRODUTO PARA PELE,-3.49,-3.03,-2.48,-2.25,-2.71,-2.14,-3.25,-0.77,-3.04,-2.97,-1.34,-2.47,-0.39,-2.72,-3.09,-1.29,-2.62
 PRODUTO PARA HIGIENE BUCAL,-0.79,1.64,0.6,-0.25,-0.17,-1.24,-0.45,1.99,-2.76,1.85,0.66,2.22,1.99,0.17,2.12,0.97,0.22
 PRODUTO PARA UNHA,       -,       -,       -,       -,       -,       -,1.66,       -,       -,       -,       -,       -,       -,0.96,       -,       -,1.56
 PERFUME,3.16,1.22,1.56,1.74,1.96,0.43,1.82,1.55,1.68,1.18,2.12,0.94,1.65,0.22,0.64,1.96,1.7
 DESODORANTE,2.3,-3.08,0.56,-2.14,0.59,-2.38,0.1,-2.66,-2.5,-2.29,1.12,-0.07,-2.02,2.96,-0.4,-0.07,-0.4
 ABSORVENTE HIGIÊNICO,1.6,0.41,2.27,0.9,0.84,-1.96,1.53,-0.3,0.61,-1.79,2.93,0.63,-0.14,1.61,0.16,-0.68,0.7
 SABONETE,-0.95,-1.87,-0.65,-2.45,0.01,1.16,-0.14,1.21,-3.11,-0.38,-1.4,-0.43,-2.93,0.96,-3.04,-1.37,-0.78
 PAPEL HIGIÊNICO,-1.67,1.36,-1.32,-2.23,2.85,0.86,-1.92,0.65,0.65,0.52,-0.8,0.76,2,1.25,-3.04,-2.97,0.99
 ARTIGOS DE MAQUIAGEM,-2.43,0.69,0.53,-0.37,-2.74,-1.22,-2.01,0.83,-1.69,-2.09,0.51,-1.95,1.16,-1.05,1.15,1.27,-1.11
 DESPESAS PESSOAIS,0.54,0.79,0.33,0.54,-0.09,0.57,0.17,0.57,0.43,0.36,0.35,0.59,0.36,0.22,0.34,0.29,0.27
 SERVIÇOS PESSOAIS,0.44,0.7,0.38,0.42,0.26,0.53,0.61,0.65,0.2,0.24,0.26,0.85,0.47,0.3,0.34,0.48,0.38
 SERVIÇOS PESSOAIS,0.44,0.7,0.38,0.42,0.26,0.53,0.61,0.65,0.2,0.24,0.26,0.85,0.47,0.3,0.34,0.48,0.38
 COSTUREIRA,       -,       -,       -,2.34,       -,       -,0.35,       -,       -,       -,       -,       -,       -,-0.26,1.51,0.28,0.99
 MANICURE,-0.68,2.7,0,-1.79,0.51,0.56,3.18,3.18,-0.45,-0.17,0,5.16,0.96,0,1.53,1.5,0.53
 EMPREGADO DOMÉSTICO,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
 CABELEIREIRO E BARBEIRO,0.8,1.11,0.18,0.48,-0.91,1.36,0.38,0.79,-0.39,-0.32,-0.63,0.86,0.15,-0.08,-0.68,0.02,-0.06
 DEPILAÇÃO,       -,       -,-0.58,       -,0.94,0.86,       -,       -,-1.49,0.57,-0.41,       -,0.14,       -,       -,1.38,0.3
 CARTÓRIO,       -,0,       -,       -,       -,       -,       -,       -,       -,0,0,       -,0,0,0,       -,0.0
 DESPACHANTE,       -,       -,1.68,       -,0.25,       -,       -,       -,       -,0,2.04,0,       -,       -,       -,       -,0.54
 SERVIÇO BANCÁRIO,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67
 CONSELHO DE CLASSE,       -,0.5,       -,       -,0.44,0.54,       -,       -,       -,       -,0.51,0.68,       -,       -,       -,       -,0.49
 SOBRANCELHA,2.01,0.31,1.03,3.2,1.4,-1.53,       -,0,-0.12,0,-0.33,0,0.55,0,-2.01,-0.54,0.73
 RECREAÇÃO E FUMO,0.7,0.92,0.25,0.73,-0.63,0.65,-0.67,0.46,0.87,0.52,0.46,0.04,0.15,0.06,0.34,-0.05,0.11
 RECREAÇÃO,0.83,1.11,0.28,0.02,-0.72,0.69,-0.74,-0.39,0.95,0.59,0.54,0.04,0.17,0.07,0.39,-0.06,0.08
 CLUBE,       -,0,1.16,       -,0.01,0.08,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.25
 INSTRUMENTO MUSICAL,       -,       -,       -,       -,       -,-0.41,       -,       -,-0.23,       -,0.61,       -,       -,0.11,       -,       -,0.11
 TRATAMENTO DE ANIMAIS (CLÍNICA),-0.04,2.21,0.25,-0.49,1.16,-1.17,-1.96,-0.01,1.19,0.61,0.8,0.79,3.33,1.84,-0.13,0.84,0.77
 BICICLETA,       -,-2.57,-1.54,-2.27,-1,-2.71,1.68,       -,3.31,-0.7,1.57,-1.41,2.33,0.75,2.86,       -,-0.46
 ALIMENTO PARA ANIMAIS,0.14,2.11,-1.51,-0.42,-3.2,1.85,-1.34,1.84,1.55,-0.69,1.81,-1.91,-0.83,0.64,-0.91,-2.74,-1.11
 BRINQUEDO,-1.02,1.81,0.81,-1.54,-1.72,1.97,-3.38,1.31,1.8,-0.2,-1.34,-0.17,1.68,0.7,1.76,1.94,-0.33
 CASA NOTURNA,-0.32,       -,0.59,       -,-0.11,       -,       -,       -,       -,       -,       -,       -,0.17,       -,       -,       -,-0.02
 JOGOS DE AZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 MATERIAL DE CAÇA E PESCA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.56,       -,       -,0.07,       -,       -,1.49
 HOSPEDAGEM,4.62,0.28,-0.32,0.84,-1.12,2.87,3.09,1.28,1.14,0.9,-0.05,-2.51,3.08,-2.61,0.83,2.69,0.45
 PACOTE TURÍSTICO,3.46,2.53,0.43,1.68,0.34,1.13,       -,3.51,4.26,3.01,2.75,2.69,-2.78,       -,2.54,-1.63,1.32
 SERVIÇO DE HIGIENE PARA ANIMAIS,-1,2.48,-0.57,       -,2.88,-2.93,       -,-1.31,-1.4,0.69,1.56,1.18,-1.83,       -,       -,       -,1.36
" CINEMA, TEATRO E CONCERTOS",-1.88,1.67,3.07,0,-2.32,-1.15,-1.02,-6.9,-0.6,-0.57,-5.6,0.88,-2.75,0,0,-1.32,-1.17
 FUMO,0,0,0,5.84,0,0,0,5.84,0,0,0,0,0,0,0,0,0.33
 CIGARRO,0,0,0,5.84,0,0,0,5.84,0,0,0,0,0,0,0,0,0.33
 EDUCAÇÃO,-0.02,0.04,0.03,0.04,0.08,-0.03,0.19,0.01,0.06,0.04,-0.03,0.01,0.28,0.11,0.11,0.03,0.05
" CURSOS, LEITURA E PAPELARIA",-0.02,0.04,0.03,0.04,0.08,-0.03,0.19,0.01,0.06,0.04,-0.03,0.01,0.28,0.11,0.11,0.03,0.05
 CURSOS REGULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CRECHE,0,0,0,0,0,0,       -,0,       -,0,0,0,0,0,       -,0,0.0
 PRÉ-ESCOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,       -,0,0,0.0
 ENSINO FUNDAMENTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ENSINO MÉDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ENSINO SUPERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 PÓS-GRADUAÇÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 EDUCAÇÃO DE JOVENS E ADULTOS,0,       -,       -,       -,       -,0,       -,0,       -,0,       -,       -,       -,0,0,       -,0.0
 CURSO TÉCNICO,       -,0,0,0,       -,       -,0,       -,0,       -,       -,       -,       -,       -,0,       -,0.0
 LEITURA,0.02,0.4,0.06,0.19,0.12,-0.09,0,0,0.21,0.18,0,0,0.97,0,0,0.12,0.12
 JORNAL DIÁRIO,0,0,       -,       -,       -,       -,0,       -,       -,       -,       -,0,       -,       -,       -,       -,0.0
 REVISTA,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,       -,0.0
 LIVRO DIDÁTICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 LIVRO NÃO DIDÁTICO,0.15,1.18,0.32,1.36,0.52,-0.31,       -,       -,1.27,0.72,       -,       -,3.13,       -,       -,1.43,0.65
 PAPELARIA,0.58,0.35,-0.01,0.78,-0.16,-0.91,2.16,0.37,0.76,0.76,0.76,-0.59,0.1,-0.21,0.84,-0.45,0.35
 CADERNO,3.28,-1.09,0.88,0.46,1.94,-1.42,1.19,2.54,-0.38,1.83,1.6,-0.55,3.85,0.46,1.89,0.63,1.13
 ARTIGOS DE PAPELARIA,-0.46,1.17,-0.71,1.03,-1.1,-0.76,3.3,-1.09,1.51,0.2,0.24,-0.62,-1.67,-1.03,-0.13,-1.13,-0.11
 CURSOS DIVERSOS,-0.24,-0.11,0.11,0,0.55,0,0.38,0,0.09,0.05,-0.42,0.3,1.13,1.05,0.73,0.21,0.21
 CURSO PREPARATÓRIO,0,       -,0,0,       -,0,       -,       -,0,0,0,       -,0,       -,0,0,0.0
 CURSO DE IDIOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,       -,0,       -,0.0
 CURSO DE INFORMÁTICA,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,0.0
 AUTOESCOLA,       -,       -,0.76,0,       -,       -,0.43,       -,0,0.23,       -,       -,2.38,1.79,       -,0.31,0.46
 ATIVIDADES FÍSICAS,-0.52,-0.16,-0.03,0,1.11,0,0.94,0,0.16,0,-1.28,0.52,1.73,0.44,3.01,0.24,0.38
 COMUNICAÇÃO,-0.57,0.02,-0.17,-0.32,-0.1,-0.06,-0.51,-0.41,-0.38,0.02,-0.13,-0.1,-0.15,-0.17,0.16,-0.25,-0.19
 COMUNICAÇÃO,-0.57,0.02,-0.17,-0.32,-0.1,-0.06,-0.51,-0.41,-0.38,0.02,-0.13,-0.1,-0.15,-0.17,0.16,-0.25,-0.19
 COMUNICAÇÃO,-0.57,0.02,-0.17,-0.32,-0.1,-0.06,-0.51,-0.41,-0.38,0.02,-0.13,-0.1,-0.15,-0.17,0.16,-0.25,-0.19
 CORREIO,       -,0,0,       -,0,0,       -,       -,       -,0,       -,       -,       -,0,       -,       -,0.0
 PLANO DE TELEFONIA FIXA,-0.87,-0.9,-0.73,-0.67,0.28,-0.68,-0.59,-0.69,-0.69,-0.48,-0.4,-0.64,-0.65,-0.68,-0.62,-0.8,-0.36
 PLANO DE TELEFONIA MÓVEL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TV POR ASSINATURA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ACESSO À INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 APARELHO TELEFÔNICO,-2.6,0.27,-0.72,-1.27,-0.82,-0.24,-1.98,-1.63,-1.85,0.23,-0.82,-0.64,-0.71,-0.65,0.52,-0.93,-0.96
 SERVIÇOS DE STREAMING,       -,0,0,0,0,0,       -,       -,0,0,       -,0,0,       -,0,0,0.0
" COMBO DE TELEFONIA, INTERNET E TV POR ASSINATURA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
