"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 SERVIÇO BANCÁRIO,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29
 CONSELHO DE CLASSE,       -,       -,       -,0.09,       -,       -,       -,       -,       -,0.09,       -,       -,0.06,0.09
" RECREAÇÃO, FUMO E FOTOGRAFIA",0.75,0.31,0.62,0.58,-0.08,0.51,0.51,0.64,0.31,0.53,0.01,1.05,0.67,0.33
 RECREAÇÃO,0.96,0.45,0.88,0.77,-0.1,0.62,0.68,0.99,0.43,0.71,-0.14,1.35,0.88,0.46
 CINEMA,1.48,0.28,1.18,1.03,-0.73,4.45,0,       -,0,2.37,-0.65,2.6,3.55,0.48
 CD E DVD,       -,       -,0.24,0.77,-1.01,0.96,0.28,0.29,0.46,0.27,       -,       -,0.3,-0.06
 INGRESSO PARA JOGO,       -,       -,       -,-1.38,       -,       -,0.98,       -,-0.49,       -,       -,       -,       -,-0.21
 CLUBE,-0.72,0,0.58,       -,-1.9,       -,       -,       -,       -,1.06,-0.67,       -,2.52,-0.6
 INSTRUMENTO MUSICAL,-0.05,1.08,       -,       -,1,       -,       -,       -,       -,       -,       -,-0.27,0.44,0.61
 TRATAMENTO DE ANIMAIS,-1.05,1.36,0,-2.5,-1.25,0.07,-0.37,1.63,0.96,2.3,0.19,0.42,0.79,-0.33
 BICICLETA,-1.05,       -,1.62,0.01,2.13,0.53,0.44,1.79,1.66,1.05,-1.18,-0.77,-0.96,1.13
 ALIMENTO PARA ANIMAIS,1.47,1.37,0.38,1.31,-0.26,1.13,1.33,2,-0.56,1.23,0.38,1.19,1.11,0.66
 BRINQUEDO,-0.28,-0.55,0.61,0.13,0.89,1.51,2.21,1.11,1.87,-0.38,-0.95,-0.62,0.5,0.6
 LOCAÇÃO DE DVD,0,-0.9,-0.89,-0.91,-2.58,-0.08,-0.88,-0.92,-0.88,-0.85,-0.87,-0.86,       -,-1.23
 BOATE E DANCETERIA,2.51,0.23,0,0,-0.81,0.21,0.33,0,0,-0.32,0,1.86,0.34,-0.08
 JOGOS DE AZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 MOTEL,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0
 HOTEL,5.31,-0.32,-0.93,2.84,0.51,-2.38,-0.31,5.29,0.61,-0.93,0.78,5.4,1,0.77
 EXCURSÃO,1.42,2.17,3.47,3.74,3.25,3,2.69,2.63,       -,2.83,0.84,2.37,3.9,2.39
 FUMO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CIGARRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 FOTOGRAFIA E FILMAGEM,0.08,0.3,-0.59,-0.31,-0.73,2.79,-0.72,-0.04,-0.22,-2.49,2.31,-0.54,-0.3,-0.28
 MÁQUINA FOTOGRÁFICA,-0.37,-0.57,-1.38,-0.74,-0.73,-2.11,-0.72,-0.71,-0.7,0,0,-0.69,-0.68,-0.71
 REVELAÇÃO E CÓPIA,0.42,1.39,-0.04,0,       -,4.56,       -,0.95,0,-4.62,3.35,-0.34,0,0.39
 EDUCAÇÃO,0.27,0.17,0.27,0.14,0.19,0.35,0.14,0.24,0.14,0.24,0.37,0.3,0.36,0.22
" CURSOS, LEITURA E PAPELARIA",0.27,0.17,0.27,0.14,0.19,0.35,0.14,0.24,0.14,0.24,0.37,0.3,0.36,0.22
 CURSOS REGULARES,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CRECHE,       -,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.0
 EDUCAÇÃO INFANTIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ENSINO FUNDAMENTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ENSINO MÉDIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ENSINO SUPERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 PÓS-GRADUAÇÃO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 LEITURA,1.07,1.32,1.71,1.53,1.61,1.93,1.27,1.9,1.28,1.68,1.51,0.63,1.27,1.45
 JORNAL DIÁRIO,0,0,0,       -,1.56,0,0,       -,       -,0,0,0,       -,0.65
 ASSINATURA DE JORNAL,0.69,0.99,1.67,0,       -,       -,       -,       -,       -,0,       -,0.17,       -,0.84
 REVISTA,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48
 LIVRO,0.46,0.13,1.42,1.46,0.16,2.69,0.98,1.27,0.1,1.97,2.15,-0.29,-0.65,0.74
 PAPELARIA,1.46,0.24,0.84,-0.05,0.66,1.16,0.3,0.27,0.03,0.74,1.91,2.46,2.12,0.74
 CADERNO,2.16,-1.93,0.85,1.49,-0.38,3.26,-0.58,-0.86,0.15,1.61,1.32,1.58,2.06,0.38
 FOTOCÓPIA,       -,       -,-0.99,1.95,       -,       -,2.11,0.1,1.17,       -,       -,       -,       -,0.72
 ARTIGOS DE PAPELARIA,0.89,1.88,1.22,-2.08,1.35,0.31,0.84,1.34,-0.62,0.25,2.15,3.23,2.18,0.99
 CURSOS DIVERSOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CURSO PREPARATÓRIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CURSO TÉCNICO,       -,0,0,       -,0,0,0,0,0,0,       -,0,0,0.0
 CURSO DE IDIOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 CURSO DE INFORMÁTICA,       -,0,0,0,0,       -,0,0,0,0,0,0,0,0.0
 ATIVIDADES FÍSICAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 COMUNICAÇÃO,0.12,0.08,0.18,-0.04,0.15,0.11,-0.11,0.14,0.22,-0.09,0.07,0.16,0.01,0.11
 COMUNICAÇÃO,0.12,0.08,0.18,-0.04,0.15,0.11,-0.11,0.14,0.22,-0.09,0.07,0.16,0.01,0.11
 COMUNICAÇÃO,0.12,0.08,0.18,-0.04,0.15,0.11,-0.11,0.14,0.22,-0.09,0.07,0.16,0.01,0.11
 CORREIO,0,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,0,       -,0.0
 TELEFONE FIXO,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TELEFONE PÚBLICO,       -,0,0,       -,-0.57,0,0,0,0,-3,-0.36,-0.44,-0.43,-0.57
 TELEFONE CELULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ACESSO À INTERNET,1.12,0.84,1.4,1.12,2.35,1.74,0,0.84,2.15,1.68,0.84,1.76,1.76,1.64
 APARELHO TELEFÔNICO,3.08,1.5,1.55,-1.36,0.45,1.09,-2.22,1.11,1.01,-2.75,1.43,0.83,-2.46,0.57
 TELEFONE COM INTERNET - PACOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TV POR ASSINATURA COM INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
