"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - FEVEREIRO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 EXAME DE LABORATÓRIO,0.5,-0.14,0.48,1.47,0.0,1.41,0.42,0.96,-0.08,0.97,0.0,0.09,1.62,0.52
 HOSPITALIZAÇÃO E CIRURGIA,0.49,0.14,-0.44,0.12,0.04,1.48,0.09,0.68,-0.04,0.37,0.0,-0.07,0.0,0.11
 EXAME DE IMAGEM,0.13,-0.87,-0.09,-0.13,0.25,0.0,0.94,0.1,0.0,-0.02,0.0,0.0,0.05,-0.01
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
 CUIDADOS PESSOAIS,0.71,-0.08,0.62,-1.12,0.17,0.0,0.25,0.47,0.03,0.64,0.12,0.71,0.24,0.22
 HIGIENE PESSOAL,0.71,-0.08,0.62,-1.12,0.17,0.0,0.25,0.47,0.03,0.64,0.12,0.71,0.24,0.22
 PRODUTO PARA CABELO,-0.89,-1.13,-1.29,-1.61,0.48,-0.1,0.7,-0.82,0.98,-0.71,0.18,0.46,-0.36,-0.23
 FRALDA DESCARTÁVEL,0.0,-2.57,0.01,-1.21,0.0,-1.96,1.98,0.0,-2.15,-2.1,0.7,0.0,2.33,-0.99
 PRODUTO PARA BARBA,0.0,1.97,0.0,0.0,0.0,0.0,3.15,0.0,0.0,0.0,0.0,0.8,0.0,2.12
 PRODUTO PARA PELE,1.14,-0.71,0.14,-0.72,0.21,-1.67,0.03,-0.29,-1.88,-0.72,0.48,-0.5,-1.85,-0.18
 PRODUTO PARA HIGIENE BUCAL,1.43,-0.53,-0.39,-1.2,-0.65,0.11,-0.93,-0.68,-0.02,-0.83,0.79,1.92,-1.36,-0.28
 PRODUTO PARA UNHA,0.0,1.85,1.52,-5.46,0.55,0.0,-0.55,-4.3,3.53,0.0,0.76,0.0,-3.8,0.18
 PERFUME,0.08,-0.95,0.86,-1.71,-0.71,-0.23,0.33,0.85,-0.96,1.21,-0.47,0.33,-0.01,-0.24
 DESODORANTE,0.06,1.39,3.29,-0.17,1.03,2.33,-1.96,0.09,-3.84,-0.14,-0.17,1.78,-0.4,0.32
 ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,0.13,0.0,0.0,-0.45,0.71,0.0,0.0,0.0,0.0,0.0,0.06
 SABONETE,-0.04,-1.1,-1.59,1.44,-2.41,1.03,1.2,-0.74,1.2,2.0,0.08,-0.09,-0.79,-0.62
 PAPEL HIGIÊNICO,0.29,1.63,0.59,-1.59,0.63,1.7,-1.64,0.08,1.58,2.23,-0.41,0.7,4.27,0.8
 ARTIGOS DE MAQUIAGEM,7.68,4.76,6.39,5.73,9.26,3.21,1.9,13.54,11.84,4.28,1.86,6.15,9.44,6.9
 DESPESAS PESSOAIS,0.39,0.12,0.45,-0.11,0.07,0.06,0.22,0.0,-0.14,0.24,0.28,0.15,0.2,0.17
 SERVIÇOS PESSOAIS,0.28,0.23,0.43,-0.31,0.13,0.09,0.41,-0.02,-0.27,0.55,0.19,0.27,0.22,0.19
 SERVIÇOS PESSOAIS,0.28,0.23,0.43,-0.31,0.13,0.09,0.41,-0.02,-0.27,0.55,0.19,0.27,0.22,0.19
 COSTUREIRA,0.0,0.0,-0.2,-1.14,0.0,0.0,-0.49,1.05,1.75,0.51,0.0,0.0,0.0,0.11
 MANICURE,3.81,-1.01,2.76,-1.74,-0.85,1.68,1.21,0.36,0.92,0.73,-0.2,2.02,-1.11,0.65
 CABELEIREIRO,-0.48,0.92,0.67,-1.06,0.47,-0.89,0.89,-0.7,-2.18,1.98,0.42,0.04,1.5,0.17
 EMPREGADO DOMÉSTICO,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 DEPILAÇÃO,0.0,0.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,1.04
 DESPACHANTE,0.0,0.42,0.98,0.0,-0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14
 SERVIÇO BANCÁRIO,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
 CONSELHO DE CLASSE,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.09
" RECREAÇÃO, FUMO E FOTOGRAFIA",0.55,-0.02,0.5,0.29,-0.03,-0.02,-0.1,0.03,0.11,-0.14,0.48,-0.09,0.13,0.13
 RECREAÇÃO,0.7,-0.01,0.62,0.39,-0.07,-0.01,-0.18,0.08,0.17,-0.18,0.66,-0.14,0.16,0.17
 CINEMA,0.96,-3.47,-0.29,0.64,0.3,0.23,-0.97,0.0,0.0,3.19,2.06,-1.86,1.1,0.31
 CD E DVD,0.0,0.0,-1.3,1.09,-1.32,-3.2,-1.01,-1.0,-0.33,-0.99,0.0,0.0,-0.98,-0.86
 INGRESSO PARA JOGO,0.0,0.0,0.0,1.82,0.0,0.0,-0.48,0.0,-1.65,0.0,0.0,0.0,0.0,-0.5
 CLUBE,3.01,0.26,1.11,0.0,1.71,0.0,0.0,0.0,0.0,0.29,3.98,0.0,0.0,1.45
 INSTRUMENTO MUSICAL,1.77,0.92,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,0.36,0.62
 TRATAMENTO DE ANIMAIS,0.53,1.16,-0.13,0.69,0.88,-1.03,1.41,1.2,-0.37,-2.48,0.62,0.82,-0.2,0.4
 BICICLETA,-2.78,0.0,1.17,2.13,-0.19,-0.67,0.01,-2.73,-1.93,-0.39,1.22,3.33,0.98,-0.26
 ALIMENTO PARA ANIMAIS,0.57,0.19,0.68,-0.19,0.15,-2.48,-0.73,-0.77,0.14,-0.57,0.69,0.77,-0.14,0.09
 BRINQUEDO,-0.49,0.58,-0.49,-2.66,-0.85,-1.29,-0.11,1.73,0.42,1.3,0.47,0.36,-0.47,-0.37
 LOCAÇÃO DE DVD,-1.94,-0.32,-0.31,-0.33,0.97,0.0,-0.3,-0.29,-0.25,-0.28,-0.27,-0.26,0.0,-0.16
 BOATE E DANCETERIA,-2.85,-1.36,0.0,0.0,-1.25,0.0,-0.79,0.0,0.0,-3.26,0.0,0.0,-0.78,-1.17
 JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,-1.14,0.0,0.0,0.0,0.0,0.0,0.0,-1.14
 HOTEL,0.34,0.32,1.15,1.94,-0.78,1.85,0.82,-2.95,1.85,0.25,-2.28,-2.77,0.9,0.24
 EXCURSÃO,1.94,1.0,2.19,2.12,0.59,2.24,1.44,2.0,0.0,0.18,1.25,0.08,2.23,1.47
 FUMO,0.0,0.0,0.0,-0.07,0.0,-0.06,0.12,-0.07,0.1,0.0,0.34,0.0,0.0,0.01
 CIGARRO,0.0,0.0,0.0,-0.07,0.0,-0.06,0.12,-0.07,0.1,0.0,0.34,0.0,0.0,0.01
 FOTOGRAFIA E FILMAGEM,0.64,-0.81,2.25,0.3,0.76,-0.62,0.78,0.47,-1.13,0.26,-0.96,0.73,0.36,0.45
 MÁQUINA FOTOGRÁFICA,2.95,-1.79,2.66,0.77,0.76,-2.21,0.78,0.79,0.8,0.0,3.02,0.81,0.82,0.95
 REVELAÇÃO E CÓPIA,-1.08,0.41,1.97,-0.05,0.0,-0.09,0.0,0.0,-2.02,0.49,-2.7,0.64,0.0,-0.33
 EDUCAÇÃO,4.57,3.29,3.2,4.78,3.51,3.13,4.68,4.22,4.03,4.35,5.81,3.68,3.99,3.89
" CURSOS, LEITURA E PAPELARIA",4.57,3.29,3.2,4.78,3.51,3.13,4.68,4.22,4.03,4.35,5.81,3.68,3.99,3.89
 CURSOS REGULARES,5.89,5.17,4.92,6.09,4.4,4.51,6.57,5.6,5.35,5.96,8.02,4.64,6.18,5.23
 CRECHE,0.0,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07
 EDUCAÇÃO INFANTIL,6.24,7.99,5.97,8.57,7.08,7.14,9.05,8.14,9.33,8.67,7.11,7.47,9.88,7.34
 ENSINO FUNDAMENTAL,5.91,6.49,5.68,8.68,6.83,7.67,8.06,6.25,8.72,7.3,6.91,8.27,10.15,6.96
 ENSINO MÉDIO,6.9,7.07,6.4,8.47,6.29,7.03,8.65,5.94,8.9,6.32,6.58,6.23,6.65,6.77
 ENSINO SUPERIOR,5.12,4.49,4.36,2.69,1.96,3.16,4.73,5.27,2.24,6.16,9.22,2.25,3.66,3.62
 PÓS-GRADUAÇÃO,6.47,6.97,3.25,2.82,8.15,-2.85,7.53,0.57,2.31,0.0,3.29,1.43,-0.07,5.11
 LEITURA,0.21,0.2,0.06,0.33,-0.27,0.44,-0.84,-0.34,-1.34,2.89,0.54,-0.16,0.59,0.06
 JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ASSINATURA DE JORNAL,0.69,1.14,1.95,0.93,0.0,0.0,0.0,0.0,0.0,20.08,0.0,0.0,0.0,2.99
 REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 LIVRO,0.71,-0.68,-0.92,0.33,-1.25,1.52,-2.89,-0.71,-2.7,1.02,1.95,-0.9,1.57,-0.65
 PAPELARIA,-1.21,-3.36,-1.32,0.17,-2.19,-0.15,1.29,-0.34,1.99,-0.73,0.64,-0.1,-2.02,-0.99
 CADERNO,-3.32,-2.26,-4.3,-2.4,-1.38,-0.92,3.72,-0.04,2.63,-2.17,2.56,-1.55,-1.3,-1.29
 FOTOCÓPIA,0.0,0.0,1.45,0.27,0.0,0.0,-0.99,-0.31,-2.43,0.0,0.0,0.0,0.0,-0.44
 ARTIGOS DE PAPELARIA,0.53,-4.15,-0.13,1.63,-2.72,0.17,-1.26,-0.61,3.81,0.1,-0.16,1.14,-2.89,-0.86
 CURSOS DIVERSOS,6.44,1.63,1.44,3.67,3.88,2.33,3.97,4.35,3.44,1.4,1.83,6.02,2.35,3.57
 CURSO PREPARATÓRIO,9.17,-2.44,2.05,3.1,5.39,-0.09,5.55,4.34,4.17,2.58,4.45,8.69,0.4,4.05
 CURSO TÉCNICO,0.0,0.86,2.83,0.0,2.96,-1.32,12.08,6.48,3.41,3.23,0.0,4.14,0.22,3.42
 CURSO DE IDIOMA,6.76,5.07,1.95,6.8,4.59,3.71,8.96,0.62,5.7,3.79,0.49,12.36,9.21,5.07
 CURSO DE INFORMÁTICA,0.0,1.84,-2.98,3.89,0.59,0.0,6.36,7.27,0.69,-1.71,0.0,2.71,-4.43,1.21
 ATIVIDADES FÍSICAS,4.75,0.11,0.98,1.25,3.84,4.72,-3.11,1.93,1.08,0.14,1.19,2.42,-1.78,2.4
 COMUNICAÇÃO,-0.09,-0.01,0.1,0.08,0.1,-0.05,0.33,-0.02,0.05,0.13,-0.39,0.44,0.01,0.05
 COMUNICAÇÃO,-0.09,-0.01,0.1,0.08,0.1,-0.05,0.33,-0.02,0.05,0.13,-0.39,0.44,0.01,0.05
 COMUNICAÇÃO,-0.09,-0.01,0.1,0.08,0.1,-0.05,0.33,-0.02,0.05,0.13,-0.39,0.44,0.01,0.05
 CORREIO,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.26
 TELEFONE FIXO,-0.22,-0.33,-0.24,-0.22,-0.19,-0.25,-0.19,-0.23,-0.23,-0.17,-0.14,-0.21,-0.23,-0.22
 TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,0.0,0.0,-3.23,0.0,0.0,-0.54
 TELEFONE CELULAR,0.0,0.0,0.73,0.59,0.52,0.0,0.73,0.5,0.5,0.72,0.0,1.26,0.0,0.43
 ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 APARELHO TELEFÔNICO,-1.75,1.95,-1.77,-2.66,0.95,-0.1,-0.1,-3.06,-2.11,-1.39,-2.2,-0.7,2.12,-0.96
 TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
