"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.04,1.06
 CUIDADOS PESSOAIS,0.15,0.59,0.72,0.38,0.01,0.69,0.24,0.49,0.56,0.21,0.05,0.19,0.25,0.3
 HIGIENE PESSOAL,0.15,0.59,0.72,0.38,0.01,0.69,0.24,0.49,0.56,0.21,0.05,0.19,0.25,0.3
 PRODUTO PARA CABELO,1.81,0.41,0.76,-0.16,-0.68,-0.76,1.28,2.01,2.76,1.08,-0.46,-0.4,-0.95,0.51
 FRALDA DESCARTÁVEL,0.0,4.28,1.86,-2.23,0.0,2.87,-0.8,0.0,2.17,-3.83,-3.76,0.0,0.84,0.73
 PRODUTO PARA BARBA,0.0,2.23,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,-0.26,0.0,1.3
 PRODUTO PARA PELE,0.34,0.52,-0.03,0.4,-0.02,1.87,0.79,0.74,-1.35,-0.28,-0.24,0.66,-0.17,0.1
 PRODUTO PARA HIGIENE BUCAL,-1.24,-0.7,2.74,-0.29,0.92,0.87,0.14,0.16,3.95,1.53,0.54,1.22,1.66,0.83
 PRODUTO PARA UNHA,1.48,1.73,0.19,-1.61,-1.05,0.0,-1.41,-1.53,-2.86,0.0,0.81,0.0,2.74,-0.36
 PERFUME,0.37,-0.52,-0.04,1.07,0.36,0.3,-0.13,0.53,0.17,0.0,0.79,-0.06,0.65,0.26
 DESODORANTE,-1.96,-2.91,0.81,-1.12,0.47,1.75,0.03,-0.58,-1.52,0.32,-0.67,-0.76,2.56,-0.37
 ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,-1.46,0.0,0.0,3.17,-4.17,0.0,0.0,0.0,0.0,0.0,-0.44
 SABONETE,-0.62,2.24,-0.61,-2.03,-0.9,0.09,2.87,0.88,1.3,-0.32,-0.5,2.38,-3.0,-0.09
 PAPEL HIGIÊNICO,-1.03,0.36,1.4,1.02,0.52,0.67,-1.19,-0.69,-0.36,1.22,0.3,-0.92,-1.46,0.29
 ARTIGOS DE MAQUIAGEM,0.49,5.67,5.25,3.56,-1.04,-0.73,-0.26,2.39,1.39,0.05,-0.3,0.45,2.05,1.11
 DESPESAS PESSOAIS,0.18,-0.06,0.32,0.25,-0.02,0.17,0.32,-0.04,0.21,0.23,0.22,0.18,0.18,0.12
 SERVIÇOS PESSOAIS,0.2,0.23,0.3,0.52,0.05,0.16,0.5,0.12,0.21,0.36,0.17,0.46,0.33,0.21
 SERVIÇOS PESSOAIS,0.2,0.23,0.3,0.52,0.05,0.16,0.5,0.12,0.21,0.36,0.17,0.46,0.33,0.21
 COSTUREIRA,0.0,0.0,1.69,0.13,0.0,0.0,0.0,0.1,1.35,-0.01,0.0,0.0,0.0,0.73
 MANICURE,1.21,-1.31,-0.25,0.0,0.41,-1.38,3.0,0.37,0.61,0.46,-0.11,1.99,1.91,0.43
 CABELEIREIRO,-0.22,1.24,0.82,1.73,-0.98,0.74,0.34,-0.09,-0.02,1.02,0.09,0.95,0.31,0.11
 EMPREGADO DOMÉSTICO,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 DEPILAÇÃO,0.0,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.6
 DESPACHANTE,0.0,-2.37,0.61,0.0,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78
 SERVIÇO BANCÁRIO,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
 CONSELHO DE CLASSE,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.06,0.09
" RECREAÇÃO, FUMO E FOTOGRAFIA",0.16,-0.46,0.34,-0.27,-0.12,0.21,0.01,-0.31,0.21,0.07,0.32,-0.4,-0.25,-0.02
 RECREAÇÃO,0.22,-0.66,0.46,-0.42,-0.17,0.26,0.02,-0.44,0.27,0.09,0.13,-0.52,-0.33,-0.04
 CINEMA,1.26,-0.65,-1.46,1.28,0.74,0.45,-0.48,0.0,0.63,1.17,0.0,1.12,-0.06,0.55
 CD E DVD,0.0,0.0,2.65,-0.14,-0.72,-0.33,0.44,-1.71,2.08,0.32,0.0,0.0,0.31,0.33
 INGRESSO PARA JOGO,0.0,0.0,0.0,-0.49,0.0,0.0,0.48,0.0,1.02,0.0,0.0,0.0,0.0,0.5
 CLUBE,-0.78,0.0,0.46,0.0,1.54,0.0,0.0,0.0,0.0,1.09,-0.06,0.0,0.0,0.77
 INSTRUMENTO MUSICAL,-0.63,-0.03,0.0,0.0,-1.18,0.0,0.0,0.0,0.0,0.0,0.0,1.05,-0.2,-0.72
 TRATAMENTO DE ANIMAIS,0.03,0.41,1.1,-0.44,-0.62,-1.82,1.75,1.54,0.21,1.22,0.47,0.95,-1.54,-0.02
 BICICLETA,0.57,0.0,-0.48,-2.03,-2.98,2.36,-0.26,-2.11,-0.07,1.66,-1.8,0.49,1.5,-0.93
 ALIMENTO PARA ANIMAIS,1.83,-0.21,1.73,2.78,0.34,2.15,2.0,1.61,0.31,-0.75,1.32,-0.05,1.55,0.76
 BRINQUEDO,-1.53,-1.46,1.52,0.47,-2.04,-0.69,-0.98,-2.73,0.16,-1.7,1.44,-0.52,-1.9,-1.08
 LOCAÇÃO DE DVD,2.74,-0.66,0.46,-0.42,-1.06,0.0,0.02,-0.44,2.62,0.09,0.13,-0.52,0.0,0.12
 BOATE E DANCETERIA,2.03,-1.72,-0.44,-2.24,0.7,1.46,-0.07,1.21,0.0,-1.8,0.0,0.0,-0.06,-0.18
 JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.55
 HOTEL,-2.75,0.85,1.41,-1.47,1.4,2.47,-0.04,1.78,-0.22,-0.21,0.48,-1.39,-2.48,0.27
 EXCURSÃO,0.42,-2.17,-0.54,-1.81,-0.23,-2.35,-0.83,-1.92,0.0,1.13,-1.42,-2.23,1.94,-0.19
 FUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.02
 CIGARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.02
 FOTOGRAFIA E FILMAGEM,-0.58,-0.54,0.3,1.99,0.0,0.06,0.0,-1.19,0.31,-0.12,2.27,0.27,0.22,0.21
 MÁQUINA FOTOGRÁFICA,-0.76,-0.97,0.73,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0
 REVELAÇÃO E CÓPIA,-0.43,0.0,0.0,3.46,0.0,0.08,0.0,-2.92,0.0,-0.22,3.29,0.62,0.39,0.54
 EDUCAÇÃO,0.3,-0.07,-0.01,0.04,0.08,-0.04,-0.12,-0.06,0.23,0.12,-0.07,0.09,0.06,0.08
" CURSOS, LEITURA E PAPELARIA",0.3,-0.07,-0.01,0.04,0.08,-0.04,-0.12,-0.06,0.23,0.12,-0.07,0.09,0.06,0.08
 CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 PÓS-GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 LEITURA,0.71,0.39,0.24,0.18,0.27,0.02,0.08,0.41,0.72,0.11,0.03,0.12,1.09,0.37
 JORNAL DIÁRIO,2.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64
 ASSINATURA DE JORNAL,0.12,0.99,0.33,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.44
 REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 LIVRO,-0.51,0.96,0.78,0.21,1.25,0.06,0.28,0.87,1.44,0.88,0.12,0.57,2.81,0.7
 PAPELARIA,3.26,-1.36,-0.38,0.29,1.09,-0.52,-1.28,-1.22,1.76,1.13,-0.78,0.89,-0.27,0.48
 CADERNO,3.94,-0.29,2.16,-0.07,0.17,0.38,-0.58,-2.76,1.78,1.47,-2.34,1.98,-0.87,0.76
 FOTOCÓPIA,0.0,0.0,0.13,0.97,0.0,0.0,-0.33,-1.51,-0.94,0.0,0.0,0.0,0.0,-0.36
 ARTIGOS DE PAPELARIA,2.71,-2.2,-1.88,0.1,1.7,-0.89,-2.75,0.24,3.07,0.93,-0.12,-0.03,0.47,0.39
 CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 COMUNICAÇÃO,0.0,-0.09,-0.16,0.05,-0.06,0.06,0.07,-0.06,-0.18,-0.12,-0.17,-0.03,-0.04,-0.07
 COMUNICAÇÃO,0.0,-0.09,-0.16,0.05,-0.06,0.06,0.07,-0.06,-0.18,-0.12,-0.17,-0.03,-0.04,-0.07
 COMUNICAÇÃO,0.0,-0.09,-0.16,0.05,-0.06,0.06,0.07,-0.06,-0.18,-0.12,-0.17,-0.03,-0.04,-0.07
 CORREIO,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
 TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 APARELHO TELEFÔNICO,-1.73,-2.84,-2.51,0.64,-2.58,2.74,1.63,-0.9,-3.34,-4.59,-4.42,-1.11,-1.17,-2.04
 TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
