"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2018",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
 CABELEIREIRO,-1.32,0.69,-0.35,-1.34,-0.07,0.71,0.18,1.29,0.14,0.26,0.19,0.73,0.59,-0.12
 EMPREGADO DOMÉSTICO,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
 DEPILAÇÃO,       -,       -,-0.71,       -,       -,       -,       -,       -,       -,       -,       -,       -,0.92,-0.34
 DESPACHANTE,       -,3.18,-1.2,       -,-0.25,       -,       -,       -,       -,       -,       -,       -,       -,0.2
 SERVIÇO BANCÁRIO,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
 CONSELHO DE CLASSE,       -,       -,       -,0.09,       -,       -,       -,       -,       -,0.09,       -,       -,0.06,0.09
" RECREAÇÃO, FUMO E FOTOGRAFIA",-0.53,0.14,-0.6,-0.88,0.48,0.16,-0.04,-0.54,-0.46,-0.36,1.02,-0.4,0.32,-0.04
 RECREAÇÃO,-0.65,0.18,-0.84,-1.01,0.69,0.3,0.11,-0.59,-0.54,-0.46,0.1,-0.53,0.42,-0.07
 CINEMA,-1.55,4.24,0.59,0,-0.88,-0.45,1.72,       -,0,-3.93,0.08,0.02,0,-0.54
 CD E DVD,       -,       -,1.35,-1.76,1.32,1.09,0.21,0.22,-0.96,0.23,       -,       -,0.24,0.33
 INGRESSO PARA JOGO,       -,       -,       -,-2.25,       -,       -,0,       -,-2.78,       -,       -,       -,       -,-1.75
 CLUBE,0.79,-0.67,0.04,       -,0.17,       -,       -,       -,       -,-0.64,0,       -,0,0.0
 INSTRUMENTO MUSICAL,-2.87,-0.43,       -,       -,0.24,       -,       -,       -,       -,       -,       -,-1.07,-1.03,-0.94
 TRATAMENTO DE ANIMAIS,0.53,0.24,1.55,1.57,3.23,2.24,-1.71,-0.59,-0.36,0.17,1.46,0.47,1.56,1.73
 BICICLETA,-1.77,       -,-3.29,0.44,-0.55,-1.36,-0.91,0.89,-3.02,-3.15,2.71,-0.69,-0.26,-1.34
 ALIMENTO PARA ANIMAIS,-1.56,-0.76,-1.41,-1.44,0.34,-0.56,0.89,1.17,1.13,0.55,-0.14,-0.64,1.37,-0.26
 BRINQUEDO,-0.04,0.84,-0.94,-1.8,0.78,-0.13,0.39,-2.46,-1.53,-1.17,0.18,1.25,1.3,0.0
 LOCAÇÃO DE DVD,0,0.36,0.37,0.35,1.09,0,0.38,0.39,0.4,0.34,0.42,0.41,       -,0.52
 BOATE E DANCETERIA,-2.95,0.12,0,0,1.25,0,-0.11,0,0,-0.96,0,1.32,-0.1,0.21
 JOGOS DE AZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 MOTEL,       -,       -,       -,       -,       -,       -,0,       -,       -,       -,       -,       -,       -,0.0
 HOTEL,-3.36,-1.17,0.37,-2.51,0.66,3.14,0.79,-1.5,-0.77,0.67,1.39,-1.16,0.39,-0.19
 EXCURSÃO,-0.04,0.84,-2.96,-2.81,0.47,-2.97,-1.79,-2.81,       -,-0.97,-2.56,-2.9,-2.94,-0.91
 FUMO,0,0,0,-0.57,0,-0.42,-0.64,-0.57,-0.53,0,2.56,0,0,0.0
 CIGARRO,0,0,0,-0.57,0,-0.42,-0.64,-0.57,-0.53,0,2.56,0,0,0.0
 FOTOGRAFIA E FILMAGEM,-1.28,1.28,0.19,0.91,0.72,1.33,0.73,1.39,1.64,0.45,3.37,0.61,0,0.79
 MÁQUINA FOTOGRÁFICA,-0.15,2.34,0.46,0.71,0.72,-0.01,0.73,0.74,0.75,0,1.61,0.76,0,0.75
 REVELAÇÃO E CÓPIA,-2.15,0,0,1.05,       -,1.77,       -,2.34,2.06,0.86,4.18,0.43,0,0.85
 EDUCAÇÃO,-0.08,0.39,0.3,0.19,0.36,-0.11,0.13,1.52,0.53,0.2,-0.3,0.03,0.46,0.28
" CURSOS, LEITURA E PAPELARIA",-0.08,0.39,0.3,0.19,0.36,-0.11,0.13,1.52,0.53,0.2,-0.3,0.03,0.46,0.28
 CURSOS REGULARES,0,0.43,0.33,0,0.18,0.1,-0.05,2.02,0.07,0.04,0,0.21,0.13,0.21
 CRECHE,       -,1.68,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.68
 EDUCAÇÃO INFANTIL,0,0.09,1.05,0,0.3,0.1,0,1.01,0.19,0,0,0.06,0,0.25
 ENSINO FUNDAMENTAL,0,0.43,0.16,0,0.36,0.02,0,2.83,0.19,0.2,0,0,0.36,0.35
 ENSINO MÉDIO,0,0.24,0.02,0,0.38,0,0,2.67,0,0,0,0,0,0.27
 ENSINO SUPERIOR,0,0.22,0.4,0,0,0.15,0,1.1,0,0,0,0.49,0,0.1
 PÓS-GRADUAÇÃO,0,2.47,0.27,0,0.33,0,-0.53,-0.58,0,0,0,0,0,0.21
 LEITURA,-0.42,0.15,-0.07,0.14,0.09,-0.3,-0.1,-0.18,1.3,-0.43,-0.14,-0.03,0.53,0.0
 JORNAL DIÁRIO,0,0,0,       -,0,0,0,       -,       -,0,0,0,       -,0.0
 ASSINATURA DE JORNAL,0.69,0.99,0.33,0.93,       -,       -,       -,       -,       -,0,       -,0.25,       -,0.63
 REVISTA,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71
 LIVRO,-1.08,1.4,0.82,0.46,1.77,0.13,0.66,0.42,3.39,-0.17,0.43,0.82,2.55,1.0
 PAPELARIA,-0.17,-0.73,0.36,1.51,0.56,-1.75,2.04,1.43,4.16,2.24,-2.79,-1.03,2.79,0.72
 CADERNO,1.1,1.82,-2.2,3.69,-0.38,-2.93,1.56,0.81,2.95,3.66,-2.53,-1,3.13,0.6
 FOTOCÓPIA,       -,       -,0.35,-1.39,       -,       -,2.85,-0.6,6.24,       -,       -,       -,       -,1.71
 ARTIGOS DE PAPELARIA,-1.17,-2.63,1.82,1.97,1.19,-1.26,2.42,3.84,3.95,1.44,-2.89,-1.06,2.36,0.66
 CURSOS DIVERSOS,0,1,0.41,0.57,1.17,0.03,-0.14,0.42,-0.01,0.14,0,-0.06,0.1,0.55
 CURSO PREPARATÓRIO,0,2.47,0.45,0,0.05,-0.12,0,0.8,-0.16,0,0,0,0,0.26
 CURSO TÉCNICO,       -,0.42,0,       -,0.12,0,0,0,0,0,       -,0,0,0.08
 CURSO DE IDIOMA,0,0,-0.24,1.93,3.27,0.24,0,0,0,-0.66,0,0.51,0.49,1.31
 CURSO DE INFORMÁTICA,       -,1.88,3.86,0,0,       -,0,-0.11,-2.62,1.43,0,0.12,0,0.47
 ATIVIDADES FÍSICAS,0,0.76,0.07,0,-0.41,0.07,-0.47,1.85,1.83,-0.17,-0.01,-0.69,-0.47,-0.02
 COMUNICAÇÃO,-0.39,-0.4,-0.5,-0.26,-0.38,-0.24,-0.32,-0.19,-0.14,-0.19,-0.04,-0.22,-0.32,-0.33
 COMUNICAÇÃO,-0.39,-0.4,-0.5,-0.26,-0.38,-0.24,-0.32,-0.19,-0.14,-0.19,-0.04,-0.22,-0.32,-0.33
 COMUNICAÇÃO,-0.39,-0.4,-0.5,-0.26,-0.38,-0.24,-0.32,-0.19,-0.14,-0.19,-0.04,-0.22,-0.32,-0.33
 CORREIO,2.15,       -,       -,       -,       -,       -,       -,       -,       -,       -,       -,1.71,       -,2.07
 TELEFONE FIXO,-1.57,-1.69,-1.3,-1.18,-0.95,-1.29,-1.03,-1.21,-1.18,-0.9,-0.74,-1.11,-1.19,-1.18
 TELEFONE PÚBLICO,       -,0,0,       -,-1.15,0,0,0,0,0,0.7,0,0,-0.4
 TELEFONE CELULAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 ACESSO À INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 APARELHO TELEFÔNICO,-0.7,-0.45,-2.8,-0.89,-3.05,0.13,-2.62,1.04,2.43,1.95,1.85,-1.19,-1.84,-1.08
 TELEFONE COM INTERNET - PACOTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
 TV POR ASSINATURA COM INTERNET,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
