Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - SETEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
364, FISIOTERAPEUTA,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
365, PSICÓLOGO,0.98,-3.16,0.29,0.0,-1.46,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.0,-0.65
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.28,0.53,0.23,0.05,0.37,0.57,0.05,0.35,-0.04,-0.24,-0.34,-0.02,1.09,0.2
367, EXAME DE LABORATÓRIO,0.12,0.2,0.56,0.02,0.0,-0.94,0.08,0.5,0.0,0.52,-0.11,-0.5,-0.15,0.08
368, HOSPITALIZAÇÃO E CIRURGIA,0.33,0.89,0.1,0.01,0.39,3.05,0.0,-0.03,-0.08,-0.41,-0.3,0.11,0.0,0.26
369, EXAME DE IMAGEM,0.33,-0.74,0.09,0.09,0.23,0.0,0.0,0.49,-0.01,0.26,-0.91,0.0,3.58,0.12
370, PLANO DE SAÚDE,1.07,1.0,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.04,1.03,1.06
371, PLANO DE SAÚDE,1.07,1.0,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.04,1.03,1.06
372, CUIDADOS PESSOAIS,0.28,0.4,0.6,-1.21,0.8,1.07,1.13,-0.16,1.53,-0.02,1.03,0.3,-0.09,0.53
373, HIGIENE PESSOAL,0.28,0.4,0.6,-1.21,0.8,1.07,1.13,-0.16,1.53,-0.02,1.03,0.3,-0.09,0.53
374, PRODUTO PARA CABELO,-0.45,0.53,-1.14,1.12,-0.33,0.65,-3.27,0.2,0.22,-1.57,0.49,0.56,0.41,-0.4
375, FRALDA DESCARTÁVEL,0.0,2.95,1.29,0.9,0.0,-0.31,3.93,0.0,-1.73,-4.05,-1.0,0.0,2.33,0.42
376, PRODUTO PARA BARBA,0.0,2.02,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,1.62,0.0,2.3
377, PRODUTO PARA PELE,-2.1,-1.71,0.02,-2.98,-0.73,-2.27,1.91,-1.55,-2.29,-1.08,-1.0,-1.27,-2.78,-1.08
378, PRODUTO PARA HIGIENE BUCAL,-1.23,2.2,-1.23,1.56,1.93,0.18,1.27,0.1,0.41,1.43,0.53,1.15,0.65,0.78
379, PRODUTO PARA UNHA,-0.7,-0.08,2.19,-2.53,0.8,0.0,-0.94,5.8,-1.82,0.0,0.65,0.0,-1.78,0.27
380, PERFUME,2.75,0.95,1.72,-1.41,1.71,4.01,3.11,-0.39,4.15,0.99,3.49,0.93,1.39,1.78
381, DESODORANTE,-0.45,-2.9,-0.09,-1.05,1.69,2.6,-0.54,0.73,1.72,1.97,-0.97,-1.11,-0.95,0.32
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,4.29,0.0,0.0,0.94,-0.76,0.0,0.0,0.0,0.0,0.0,1.53
383, SABONETE,-1.9,0.53,0.92,-0.4,0.44,-1.37,-0.88,0.54,1.17,-0.15,-1.31,0.88,-3.77,-0.03
384, PAPEL HIGIÊNICO,-0.17,2.04,1.64,-4.04,0.84,1.3,-1.22,-0.72,0.18,0.59,0.55,-0.45,0.19,0.52
385, ARTIGOS DE MAQUIAGEM,-1.69,-4.01,-1.75,-4.58,-0.95,-0.12,-3.35,-0.75,-1.54,-1.01,-0.55,-0.6,-1.39,-1.78
386, DESPESAS PESSOAIS,0.62,0.16,0.3,0.31,0.88,0.51,0.09,0.26,0.42,0.79,0.42,0.15,0.62,0.56
387, SERVIÇOS PESSOAIS,0.6,0.48,0.41,0.54,0.82,0.55,0.59,0.54,0.6,0.83,0.72,0.54,0.88,0.65
388, SERVIÇOS PESSOAIS,0.6,0.48,0.41,0.54,0.82,0.55,0.59,0.54,0.6,0.83,0.72,0.54,0.88,0.65
389, COSTUREIRA,0.0,0.0,0.35,-1.22,0.0,0.0,2.34,0.52,-0.73,1.3,0.0,0.0,0.0,0.45
390, MANICURE,-1.05,-1.6,-2.63,0.25,0.08,-0.53,1.4,-0.5,2.21,1.22,-2.91,0.0,3.19,-0.39
391, CABELEIREIRO,0.59,-0.19,0.21,0.42,1.41,0.79,-0.27,0.62,-0.36,1.34,1.5,0.31,0.73,0.71
392, EMPREGADO DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.89
394, DESPACHANTE,0.0,2.53,0.38,0.0,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18
395, SERVIÇO BANCÁRIO,1.99,1.99,1.99,2.13,1.99,1.99,2.13,2.13,2.13,1.99,2.13,2.13,2.13,2.02
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FOTOGRAFIA",0.64,-0.25,0.08,-0.15,0.97,0.42,-0.71,-0.2,0.07,0.75,-0.28,-0.64,-0.1,0.42
398, RECREAÇÃO,0.81,-0.33,0.06,-0.43,0.31,0.52,-0.91,-0.31,0.09,0.25,-0.32,-0.83,-0.13,0.15
399, CINEMA,-0.76,1.95,-1.14,0.15,0.89,-0.7,0.0,0.0,-0.18,-2.32,-0.28,-1.29,0.77,0.04
400, CD E DVD,0.0,0.0,1.81,-0.85,-0.62,1.29,0.4,0.41,0.39,0.42,0.0,0.0,0.43,0.07
401, INGRESSO PARA JOGO,0.0,0.0,0.0,-0.77,0.0,0.0,-0.85,0.0,0.0,0.0,0.0,0.0,0.0,-0.45
402, CLUBE,0.02,1.05,-0.26,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.11
403, INSTRUMENTO MUSICAL,1.86,-0.3,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.61,0.58
404, TRATAMENTO DE ANIMAIS,1.05,2.82,0.04,-0.57,1.14,0.02,-0.56,1.68,-0.37,0.64,0.83,-1.66,-0.78,0.94
405, BICICLETA,-0.33,0.0,0.16,2.15,-1.21,-3.09,-0.36,-0.35,0.59,-3.2,-1.29,-1.7,0.0,-0.78
406, ALIMENTO PARA ANIMAIS,2.85,-1.16,1.2,-1.11,0.22,1.77,-1.72,1.5,0.3,0.18,1.95,0.32,0.5,0.47
407, BRINQUEDO,0.65,-0.34,-0.52,-0.86,0.42,0.78,-3.04,-0.37,-1.91,-0.42,0.83,-1.97,0.43,-0.2
408, LOCAÇÃO DE DVD,1.31,1.33,1.27,1.28,2.51,0.0,1.29,1.3,1.31,1.32,1.34,1.35,0.0,1.61
409, BOATE E DANCETERIA,-4.69,-1.54,0.23,-2.24,2.37,-0.9,-0.63,-2.58,3.51,2.81,-4.01,0.0,-0.63,0.33
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-0.5
412, HOTEL,0.73,-1.34,1.29,-0.38,-0.3,2.67,-0.31,-1.74,-0.32,1.55,-0.07,0.71,-2.5,0.22
413, EXCURSÃO,1.9,-2.31,-0.46,1.28,-4.21,-0.38,-1.2,-3.44,0.0,-0.54,-2.63,-1.75,-1.05,-0.4
414, FUMO,0.0,0.0,0.0,0.58,2.56,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,1.17
415, CIGARRO,0.0,0.0,0.0,0.58,2.56,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,1.17
416, FOTOGRAFIA E FILMAGEM,1.06,-1.43,1.72,2.14,-0.1,1.51,-0.09,-0.05,-0.02,0.36,-1.65,0.47,-0.02,0.24
417, MÁQUINA FOTOGRÁFICA,1.22,-2.61,0.63,-0.11,-0.1,1.72,-0.09,-0.08,-0.07,0.0,-1.62,-0.06,-0.05,-0.15
418, REVELAÇÃO E CÓPIA,0.93,0.0,2.56,3.83,0.0,1.43,0.0,0.0,0.0,0.67,-1.66,1.15,0.0,0.88
419, EDUCAÇÃO,0.13,0.13,0.19,0.03,-0.03,-0.1,0.07,0.16,0.07,-0.15,-0.01,0.06,-0.12,0.04
420," CURSOS, LEITURA E PAPELARIA",0.13,0.13,0.19,0.03,-0.03,-0.1,0.07,0.16,0.07,-0.15,-0.01,0.06,-0.12,0.04
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427, PÓS-GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,-0.05,0.47,-0.15,0.35,0.34,-0.14,0.04,0.01,-0.29,-0.17,-0.01,-0.14,0.12,0.08
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430, ASSINATURA DE JORNAL,0.57,1.88,-0.22,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.66
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,-0.5,-0.02,-0.46,0.55,1.56,-0.51,0.13,0.02,-0.57,-1.41,-0.05,-0.13,0.3,0.14
433, PAPELARIA,1.52,0.77,-0.3,0.75,-2.23,-1.12,-0.35,0.84,0.29,-1.47,-0.26,1.63,-1.66,-0.47
434, CADERNO,0.35,-1.33,0.92,1.5,-2.44,-2.66,-1.85,-0.64,2.03,-0.43,-1.15,0.44,-2.44,-0.84
435, FOTOCÓPIA,0.0,0.0,1.95,2.01,0.0,0.0,0.79,2.22,2.11,0.0,0.0,0.0,0.0,1.91
436, ARTIGOS DE PAPELARIA,2.47,2.36,-1.46,-0.38,-2.08,-0.49,1.43,0.84,-1.66,-2.06,0.09,2.74,-0.7,-0.51
437, CURSOS DIVERSOS,0.31,0.07,1.5,-0.41,0.35,0.05,0.39,0.64,0.53,0.04,0.19,-0.37,0.39,0.4
438, CURSO PREPARATÓRIO,0.0,1.7,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,-0.11,0.36,0.5
439, CURSO TÉCNICO,0.0,-0.22,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.55,4.08,0.85
440, CURSO DE IDIOMA,0.0,-0.32,-0.24,-1.43,0.67,0.52,0.0,-0.37,0.0,0.0,0.0,-0.86,0.26,0.17
441, CURSO DE INFORMÁTICA,0.0,-0.89,0.35,0.0,3.51,0.0,0.0,3.95,4.39,0.0,-0.39,0.0,-3.58,1.6
442, ATIVIDADES FÍSICAS,0.9,0.0,0.62,0.0,-1.69,-0.05,1.21,0.0,0.0,0.21,0.28,0.34,1.43,-0.13
443, COMUNICAÇÃO,0.5,0.76,0.61,0.16,0.31,0.64,0.94,0.01,0.63,0.49,0.89,0.62,0.65,0.5
444, COMUNICAÇÃO,0.5,0.76,0.61,0.16,0.31,0.64,0.94,0.01,0.63,0.49,0.89,0.62,0.65,0.5
445, COMUNICAÇÃO,0.5,0.76,0.61,0.16,0.31,0.64,0.94,0.01,0.63,0.49,0.89,0.62,0.65,0.5
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,0.29,0.0,0.0,-0.57,0.0,0.0,4.71,0.0,0.0,0.63
449, TELEFONE CELULAR,1.49,1.67,1.28,0.0,1.19,1.67,1.86,0.0,1.19,1.89,1.67,1.86,1.67,1.3
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,1.6,3.07,1.75,2.18,-0.72,-2.27,0.07,0.38,2.28,-2.2,-2.22,-3.78,-1.53,0.66
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
