Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JUNHO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
362,APARELHO ORTODONTICO,0.0,0.04,0.0,0.0,1.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,-0.33,0.98
363,ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24,0.0,0.0,-0.24
364,FISIOTERAPEUTA,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
365,PSICÓLOGO,2.46,1.92,0.57,0.72,1.8,0.0,0.0,1.29,0.0,0.0,0.0,0.0,0.0,1.7
366,SERVIÇOS LABORATORIAIS E HOSPITALARES,0.29,0.23,-0.31,1.49,0.3,0.04,-0.01,0.45,-0.12,0.16,0.35,0.48,0.08,0.19
367,EXAME DE LABORATÓRIO,-0.08,1.19,-1.13,0.37,0.0,0.07,-0.42,0.58,0.1,0.4,0.39,-0.01,-0.37,0.01
368,HOSPITALIZAÇÃO E CIRURGIA,0.11,0.0,-0.02,1.15,0.31,0.0,0.66,0.49,-0.29,0.06,0.41,0.0,0.0,0.15
369,EXAME DE IMAGEM,1.0,0.08,0.11,2.86,0.3,0.0,0.2,0.29,0.08,0.66,0.12,1.92,0.45,0.5
370,PLANO DE SAÚDE,1.05,1.02,1.04,1.07,1.05,1.07,1.07,1.05,1.05,1.05,1.07,1.05,1.03,1.05
371,PLANO DE SAÚDE,1.05,1.02,1.04,1.07,1.05,1.07,1.07,1.05,1.05,1.05,1.07,1.05,1.03,1.05
372,CUIDADOS PESSOAIS,0.27,-0.23,-0.38,-0.38,-0.18,-0.34,0.07,-0.18,-0.26,0.5,-1.05,-0.14,-0.35,-0.14
373,HIGIENE PESSOAL,0.27,-0.23,-0.38,-0.38,-0.18,-0.34,0.07,-0.18,-0.26,0.5,-1.05,-0.14,-0.35,-0.14
374,PRODUTO PARA CABELO,2.43,-0.23,0.42,0.37,1.91,0.06,0.3,1.16,2.38,-0.32,0.46,1.94,-0.78,1.12
375,FRALDA DESCARTÁVEL,0.0,-0.68,-0.47,-0.52,0.0,-3.72,3.23,0.0,1.0,-0.3,2.44,0.0,-2.57,-0.21
376,PRODUTO PARA BARBA,0.0,-0.17,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,2.3,0.0,0.93
377,PRODUTO PARA PELE,-0.14,-1.4,-0.7,-2.33,-0.52,-0.27,-0.21,-0.08,-3.06,-1.7,-1.0,-0.07,-1.34,-0.93
378,PRODUTO PARA HIGIENE BUCAL,2.93,1.86,1.97,2.93,-0.01,-2.4,0.09,2.93,5.54,1.96,0.95,-1.42,0.49,1.43
379,PRODUTO PARA UNHAS,3.34,1.14,-0.48,2.15,8.11,0.0,-0.63,0.62,5.34,0.0,-0.31,0.0,2.48,3.61
380,PERFUME,-1.15,-0.02,-1.43,-1.52,-1.5,0.7,-0.19,-0.96,-1.07,1.33,-2.72,-0.46,-1.27,-0.95
381,DESODORANTE,1.43,-0.61,1.07,-0.3,-0.22,-1.95,0.04,0.32,-2.15,-1.32,-0.54,0.11,0.09,-0.21
382,ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,-0.03,0.0,0.0,-3.67,-2.98,0.0,0.0,0.0,0.0,0.0,-2.31
383,SABONETE,1.0,-0.9,0.14,0.61,-2.83,-0.89,1.14,0.16,-1.76,0.65,0.76,-0.79,0.87,-0.79
384,PAPEL HIGIÊNICO,-1.47,-1.45,-0.56,3.61,-0.43,0.6,-0.08,-1.45,-3.36,1.28,-2.11,-1.24,3.46,-0.46
385,ARTIGO DE MAQUIAGEM,0.71,0.84,0.41,1.43,1.97,0.18,1.64,2.78,2.25,2.57,-0.11,-0.63,1.15,1.39
386,DESPESAS PESSOAIS,0.09,0.42,0.23,0.68,0.35,0.39,0.44,0.0,0.32,0.42,0.68,0.29,0.08,0.33
387,SERVIÇOS PESSOAIS,0.59,0.68,0.46,1.12,0.54,0.5,0.54,0.25,0.35,0.26,0.96,0.74,0.06,0.55
388,SERVIÇOS PESSOAIS,0.59,0.68,0.46,1.12,0.54,0.5,0.54,0.25,0.35,0.26,0.96,0.74,0.06,0.55
389,COSTUREIRA,0.0,0.0,-0.16,-1.19,0.0,0.0,2.81,0.19,0.96,-1.69,0.0,0.0,0.0,0.23
390,MANICURE,0.32,0.89,0.49,-1.57,1.24,0.41,-0.01,0.16,0.62,0.76,1.56,-2.12,0.58,0.56
391,CABELEIREIRO,0.41,0.64,-0.18,3.8,-0.59,0.2,0.19,-0.61,-0.8,-0.93,1.44,2.47,-2.95,0.06
392,EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393,DEPILAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.01
394,DESPACHANTE,0.0,0.93,0.0,0.0,2.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22
395,SERVIÇO BANCÁRIO,1.43,1.43,1.43,1.49,1.43,1.43,1.49,1.49,1.49,1.43,1.49,1.49,1.49,1.44
396,CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FILMES",-0.69,0.09,-0.19,-0.17,0.06,0.13,0.29,-0.39,0.25,0.62,0.03,-0.62,0.16,-0.03
398,RECREAÇÃO,-0.92,0.15,-0.28,-0.21,0.09,0.16,0.39,-0.59,0.3,0.76,0.12,-0.78,0.2,-0.04
399,CINEMA,-1.55,0.81,-0.86,-0.36,-0.92,0.0,3.68,0.0,0.0,2.99,-2.2,-2.83,0.0,-0.57
400,CD E DVD,0.0,0.0,-2.1,-2.91,2.56,1.72,-0.04,-0.03,0.45,0.06,0.0,0.0,-0.02,0.46
401,INGRESSO PARA JOGO,0.0,0.0,0.0,-1.71,0.0,0.0,2.21,0.0,1.8,0.0,0.0,0.0,0.0,1.11
402,CLUBE,2.92,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
403,INSTRUMENTO MUSICAL,-2.03,-4.02,0.0,0.0,-0.22,0.0,0.0,0.0,0.0,0.0,0.0,-2.67,-1.71,-1.54
404,TRATAMENTO DE ANIMAIS,-0.58,1.6,0.47,0.92,0.23,-0.39,-0.13,1.29,-1.28,1.51,0.25,-0.65,-1.57,0.34
405,BICICLETA,-2.04,0.0,2.85,1.66,-0.16,-1.53,0.7,-1.46,0.95,-1.06,-0.74,1.96,0.15,0.19
406,ALIMENTO  PARA ANIMAIS,1.55,0.59,1.2,1.63,0.18,-0.06,-0.69,-0.09,3.86,3.51,0.5,0.34,1.81,1.09
407,BRINQUEDO,-0.54,0.32,-1.62,-0.02,-0.41,1.22,1.13,-1.6,-0.88,-2.33,0.54,-0.55,2.46,-0.5
408,LOCAÇÃO DE DVD,0.0,2.02,0.39,0.4,1.85,0.0,0.41,0.42,0.43,0.0,-1.57,0.44,0.0,0.84
409,BOATE E DANCETERIA,1.84,1.43,-0.41,-0.93,0.96,-0.98,-0.16,-2.72,0.0,-1.19,0.38,-3.4,-0.15,0.39
410,JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,0.0,0.0,0.0,0.0,0.0,0.0,-0.63
412,HOTEL,-1.84,-0.51,-0.16,-1.13,0.99,0.8,-0.4,-3.08,0.14,0.16,0.47,-2.57,-2.43,-0.05
413,EXCURSÃO,-2.75,-2.96,-1.07,2.65,-2.14,-0.75,-0.04,0.31,0.0,3.54,2.77,0.07,2.67,-1.17
414,FUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,CIGARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,FOTOGRAFIA E FILMAGEM,1.65,-0.64,0.34,-0.25,-0.51,0.17,-0.6,-0.64,0.96,0.77,-1.02,-0.77,0.83,0.0
417,MÁQUINA FOTOGRÁFICA,1.29,-1.14,0.19,-0.59,-0.51,0.12,-0.6,-0.58,-1.4,0.0,-3.25,-0.57,-0.56,-0.5
418,REVELAÇÃO E CÓPIA,1.94,0.0,0.46,0.0,0.0,0.19,0.0,-0.73,2.08,1.41,0.12,-1.02,2.1,0.84
419,EDUCAÇÃO,-0.09,0.31,0.11,-0.06,0.11,-0.1,0.02,0.08,-0.06,0.28,0.03,0.29,0.1,0.08
420," CURSOS, LEITURA E PAPELARIA",-0.09,0.31,0.11,-0.06,0.11,-0.1,0.02,0.08,-0.06,0.28,0.03,0.29,0.1,0.08
421,CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,PÓS - GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,LEITURA,0.17,3.07,-0.22,0.04,0.11,0.0,0.12,0.41,-0.29,1.29,0.01,2.54,-0.48,0.39
429,JORNAL DIÁRIO,0.0,18.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.07,0.0,1.37
430,ASSINATURA DE JORNAL,0.57,1.11,-1.6,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.16
431,REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,LIVRO,0.58,-1.08,0.06,-0.13,0.5,0.0,0.39,0.88,-0.58,-0.63,0.02,-0.05,-1.23,0.11
433,PAPELARIA,-2.0,-0.31,1.41,-0.9,1.78,-1.28,0.05,0.37,-0.29,1.63,0.32,-1.0,1.17,0.46
434,CADERNO,-2.98,-0.3,3.73,1.34,0.79,-2.96,1.1,0.04,-1.74,2.68,-2.71,-0.87,0.75,0.31
435,FOTOCÓPIA,0.0,0.0,3.99,-0.14,0.0,0.0,0.76,0.72,2.8,0.0,0.0,0.0,0.0,1.92
436,ARTIGO DE PAPELARIA,-1.21,-0.32,-0.37,-2.6,2.47,-0.6,-1.8,0.32,-0.94,1.03,1.62,-1.12,1.69,0.38
437,CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,COMUNICAÇÃO,0.13,0.06,0.07,-0.02,0.2,0.09,-0.04,-0.04,-0.16,0.18,0.07,0.16,0.0,0.09
444,COMUNICAÇÃO,0.13,0.06,0.07,-0.02,0.2,0.09,-0.04,-0.04,-0.16,0.18,0.07,0.16,0.0,0.09
445,COMUNICAÇÃO,0.13,0.06,0.07,-0.02,0.2,0.09,-0.04,-0.04,-0.16,0.18,0.07,0.16,0.0,0.09
446,CORREIO,2.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.0,2.14
447,TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.27
449,TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,ACESSO À INTERNET,1.74,1.39,1.04,1.39,1.87,1.79,0.0,1.74,0.0,3.51,1.74,1.87,1.74,1.57
451,APARELHO TELEFÔNICO,-0.82,-0.23,0.22,-1.4,1.83,0.06,-0.71,-2.53,-2.92,-0.75,-1.14,-1.77,-2.64,-0.42
452,TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
