Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MAIO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
365, PSICÓLOGO,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.42,0.11,0.21,0.08,-0.09,-0.09,0.16,1.01,3.55,0.28,-0.04,0.04,1.06,0.37
367, EXAME DE LABORATÓRIO,0.55,0.85,0.45,0.02,0.0,-0.15,-0.01,-0.37,0.29,0.24,-0.78,0.0,-0.15,0.16
368, HOSPITALIZAÇÃO E CIRURGIA,0.0,0.14,0.05,0.0,0.02,0.0,0.0,2.87,6.57,0.34,0.44,0.08,0.0,0.5
369, EXAME DE IMAGEM,1.23,-0.97,0.31,0.21,-0.83,0.0,0.79,0.97,0.13,-0.13,0.21,0.0,3.61,0.05
370, PLANO DE SAÚDE,1.07,1.02,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.06
371, PLANO DE SAÚDE,1.07,1.02,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.06
372, CUIDADOS PESSOAIS,-0.56,-0.46,0.06,-0.29,0.19,0.98,0.9,-0.39,-0.06,0.05,-0.05,1.7,0.47,0.05
373, HIGIENE PESSOAL,-0.56,-0.46,0.06,-0.29,0.19,0.98,0.9,-0.39,-0.06,0.05,-0.05,1.7,0.47,0.05
374, PRODUTO PARA CABELO,-1.41,-2.78,0.06,0.66,-0.43,2.66,4.55,1.21,0.5,0.45,-2.0,4.16,0.79,-0.04
375, FRALDA DESCARTÁVEL,0.0,-0.17,-1.15,-1.37,0.0,3.78,-1.45,0.0,2.6,0.07,-1.2,0.0,-0.31,0.04
376, PRODUTO PARA BARBA,0.0,0.2,0.0,0.0,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,1.55,0.0,0.32
377, PRODUTO PARA PELE,0.71,-0.51,0.47,-0.06,1.1,-0.09,1.14,-0.25,-0.11,-0.42,-0.3,1.15,1.3,0.42
378, PRODUTO PARA HIGIENE BUCAL,0.85,2.26,-1.04,2.15,0.09,1.22,0.98,0.97,-0.58,0.3,1.17,0.46,0.64,0.5
379, PRODUTO PARA UNHAS,0.23,-1.38,0.66,4.07,-0.45,0.0,0.5,-2.55,4.6,0.0,1.74,0.0,1.32,0.45
380, PERFUME,-0.8,-0.18,0.02,-1.54,-0.06,0.36,0.55,-1.26,-1.25,0.02,0.4,1.96,-0.16,-0.31
381, DESODORANTE,-3.03,-1.4,-0.35,1.74,0.27,2.4,1.21,1.5,1.24,-0.74,0.16,3.09,0.48,0.06
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,3.59,0.0,0.0,0.51,1.94,0.0,0.0,0.0,0.0,0.0,1.87
383, SABONETE,0.38,-0.87,0.96,1.47,2.2,0.69,2.79,2.21,1.12,2.17,0.27,0.89,1.99,1.44
384, PAPEL HIGIÊNICO,-2.05,-0.3,0.67,0.94,-0.72,-0.02,-1.98,-0.84,1.53,-0.7,0.43,-0.2,0.41,-0.51
385, ARTIGO DE MAQUIAGEM,0.13,0.94,-0.24,-2.65,0.52,3.06,-0.83,-1.85,0.82,-0.21,-1.27,1.0,0.14,0.07
386, DESPESAS PESSOAIS,0.0,0.3,0.03,-0.11,0.37,0.31,0.7,0.04,0.74,0.09,0.17,-0.11,-0.1,0.23
387, SERVIÇOS PESSOAIS,0.28,0.6,0.06,-0.03,0.45,0.51,1.06,0.04,1.2,0.15,0.22,0.33,0.15,0.39
388, SERVIÇOS PESSOAIS,0.28,0.6,0.06,-0.03,0.45,0.51,1.06,0.04,1.2,0.15,0.22,0.33,0.15,0.39
389, COSTUREIRA,0.0,0.0,0.0,3.34,0.0,0.0,0.8,1.22,1.8,0.94,0.0,0.0,0.0,1.17
390, MANICURE,-0.11,2.88,-0.25,1.59,1.38,-0.52,2.41,-0.48,2.56,0.39,1.33,-0.06,-0.17,0.97
391, CABELEIREIRO,-0.32,0.42,-1.5,-2.41,-0.01,0.9,2.08,-1.11,3.05,-1.18,-0.92,-0.15,-1.25,-0.21
392, EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.02
394, DESPACHANTE,0.0,0.0,-0.69,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59
395, SERVIÇO BANCÁRIO,0.16,0.16,0.16,0.18,0.16,0.16,0.18,0.18,0.18,0.16,0.18,0.18,0.18,0.17
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FILMES",-0.44,-0.07,0.0,-0.26,0.25,-0.17,0.12,0.05,-0.16,0.01,0.05,-0.98,-0.79,-0.02
398, RECREAÇÃO,-0.59,-0.11,-0.04,-0.34,0.26,-0.21,0.14,0.07,-0.3,0.01,0.16,-1.28,-1.04,-0.07
399, CINEMA,0.4,0.0,0.29,1.1,0.15,0.0,-0.52,0.0,0.0,0.6,-1.46,-2.67,0.0,0.13
400, CD E DVD,0.0,0.0,1.02,-1.67,-0.04,-0.13,-0.47,-0.46,-0.06,-1.95,0.0,0.0,-0.45,-0.46
401, INGRESSO PARA JOGO,0.0,0.0,0.0,1.76,0.0,0.0,0.9,0.0,1.92,0.0,0.0,0.0,0.0,1.53
402, CLUBE,0.0,-1.62,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,-0.06
403, INSTRUMENTO MUSICAL,-0.19,1.21,0.0,0.0,-1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.72,-0.61,-0.61
404, TRATAMENTO DE ANIMAIS,0.22,0.34,0.22,-0.76,-0.05,-0.57,1.68,2.67,0.62,-0.79,-0.11,-0.03,-2.73,0.02
405, BICICLETA,1.98,0.0,-2.13,-2.92,1.81,0.25,-0.4,0.3,-3.31,0.55,0.18,-2.96,-1.99,-0.14
406, ALIMENTO  PARA ANIMAIS,0.65,-0.12,1.37,0.53,1.85,0.37,0.87,-0.16,2.15,0.1,-0.68,-0.92,0.49,0.93
407, BRINQUEDO,-0.9,1.89,1.11,-0.76,0.38,1.19,0.77,1.43,1.27,1.78,2.91,0.98,-1.66,0.67
408, LOCAÇÃO DE DVD,0.0,0.0,-0.38,-0.37,-0.37,0.0,-0.36,2.47,-0.35,0.0,-1.8,-0.34,0.0,-0.17
409, BOATE E DANCETERIA,-1.26,-0.7,-0.2,0.0,2.89,-1.58,-0.67,-4.11,-1.7,-0.08,0.0,-3.08,-0.66,0.45
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,1.07
412, HOTEL,-3.04,0.14,-0.05,-0.35,-0.92,-0.79,-0.06,0.27,-2.3,-0.86,-0.51,-2.51,-2.78,-1.03
413, EXCURSÃO,-1.26,-1.68,-1.57,-2.85,-2.7,-1.7,-1.4,-2.66,0.0,0.29,1.49,-2.69,-0.37,-1.37
414, FUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415, CIGARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416, FOTOGRAFIA E FILMAGEM,1.19,0.48,1.35,-0.04,4.42,-0.01,1.28,0.34,1.84,0.39,-1.1,1.27,0.59,1.86
417, MÁQUINA FOTOGRÁFICA,0.11,2.47,3.09,-0.09,4.42,0.04,1.28,1.27,1.25,0.0,0.23,1.29,1.24,2.83
418, REVELAÇÃO E CÓPIA,2.08,-1.94,0.0,0.0,0.0,-0.03,0.0,-1.1,2.12,0.72,-1.77,1.23,0.0,0.25
419, EDUCAÇÃO,0.06,0.3,-0.01,0.05,0.16,0.07,-0.15,-0.05,0.02,0.02,-0.08,0.18,0.23,0.08
420," CURSOS, LEITURA E PAPELARIA",0.06,0.3,-0.01,0.05,0.16,0.07,-0.15,-0.05,0.02,0.02,-0.08,0.18,0.23,0.08
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427, PÓS - GRADUAÇÃO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,0.03,1.79,-0.13,-0.05,-0.19,0.04,0.11,-0.17,-0.45,-0.05,-0.18,0.04,0.1,0.04
429, JORNAL DIÁRIO,0.0,9.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
430, ASSINATURA DE JORNAL,0.57,1.11,-0.24,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.53
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,-0.13,0.53,-0.39,-0.57,-0.86,0.12,0.35,-0.36,-0.9,-0.37,-0.66,-0.27,0.27,-0.45
433, PAPELARIA,0.99,1.28,0.08,0.72,3.23,0.86,-1.51,-0.36,0.9,0.24,-0.6,2.32,1.91,1.1
434, CADERNO,2.61,0.75,0.38,3.56,3.92,1.33,-1.74,3.35,1.18,-2.53,-2.65,1.12,2.87,1.46
435, FOTOCÓPIA,0.0,0.0,-0.02,0.14,0.0,0.0,0.0,-1.02,0.36,0.0,0.0,0.0,0.0,-0.07
436, ARTIGO DE PAPELARIA,-0.28,1.72,-0.06,-0.53,2.75,0.67,-1.77,-2.91,0.99,1.9,0.31,3.52,0.77,1.0
437, CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438, CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439, CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440, CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441, CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442, ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443, COMUNICAÇÃO,-0.08,-0.13,-0.16,-0.22,0.18,-0.06,0.74,0.39,0.33,0.3,0.06,0.04,-0.13,0.09
444, COMUNICAÇÃO,-0.08,-0.13,-0.16,-0.22,0.18,-0.06,0.74,0.39,0.33,0.3,0.06,0.04,-0.13,0.09
445, COMUNICAÇÃO,-0.08,-0.13,-0.16,-0.22,0.18,-0.06,0.74,0.39,0.33,0.3,0.06,0.04,-0.13,0.09
446, CORREIO,5.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35,0.0,5.34
447, TELEFONE FIXO,-0.68,-0.44,-0.74,-0.56,-0.55,-0.25,-0.26,-0.28,-0.57,-0.55,-0.58,-0.48,-0.47,-0.56
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,1.31,0.0,0.0,-0.41,0.0,0.0,0.81,0.15,0.16,0.62
449, TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.95,0.0,1.6,1.11,1.11,1.6,0.54,0.0,0.0,0.56
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,0.06,-0.92,0.33,-1.73,0.85,-0.48,-0.19,-0.97,0.05,-0.47,-1.63,0.64,-0.74,-0.14
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
