Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - NOVEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
362, APARELHO ORTODÔNTICO,0.0,1.52,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.77,0.0,0.0,-0.84,0.56
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
364, FISIOTERAPEUTA,0.27,0.0,0.0,0.0,-1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.91
365, PSICÓLOGO,0.0,0.0,-0.86,3.01,0.88,0.0,0.0,-2.22,0.0,0.0,0.0,0.0,0.0,0.43
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.09,0.19,-0.08,0.04,0.77,0.52,0.25,-0.53,0.02,0.79,0.0,-0.09,0.0,0.37
367, EXAME DE LABORATÓRIO,-0.21,0.1,-0.02,0.1,0.0,0.38,-0.1,-0.57,0.24,0.89,-0.1,0.24,0.7,0.11
368, HOSPITALIZAÇÃO E CIRURGIA,0.11,0.06,-0.12,0.01,0.84,0.73,1.25,0.15,0.0,0.84,0.0,-0.05,0.0,0.49
369, EXAME DE IMAGEM,0.3,0.91,-0.08,0.0,0.29,0.0,-0.07,-0.97,-0.12,0.39,0.21,-0.41,-0.35,0.15
370, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
371, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
372, CUIDADOS PESSOAIS,0.18,-0.11,-0.76,0.68,0.6,-0.17,-0.11,0.12,0.62,-0.15,-0.18,0.4,-0.34,0.16
373, HIGIENE PESSOAL,0.18,-0.11,-0.76,0.68,0.6,-0.17,-0.11,0.12,0.62,-0.15,-0.18,0.4,-0.34,0.16
374, PRODUTO PARA CABELO,3.54,0.48,0.75,0.51,1.96,0.07,-0.17,-0.81,2.66,-0.13,0.09,-0.41,-0.13,1.22
375, FRALDA DESCARTÁVEL,0.0,1.2,-1.63,-0.43,0.0,1.41,-0.03,0.0,0.58,-0.37,1.98,0.0,1.48,0.15
376, PRODUTO PARA BARBA,0.0,-2.74,0.0,0.0,0.0,0.0,-1.48,0.0,0.0,0.0,0.0,0.93,0.0,-1.79
377, PRODUTO PARA PELE,-0.06,-1.19,-0.23,-0.76,-0.38,-0.45,-0.25,0.45,0.09,-1.57,-0.07,0.39,0.39,-0.44
378, PRODUTO PARA HIGIENE BUCAL,1.81,1.12,-2.94,0.16,2.2,-0.33,-0.84,-1.49,2.06,1.46,0.52,1.03,-0.41,0.73
379, PRODUTO PARA UNHA,-5.35,-0.19,-3.77,3.85,-0.96,0.0,1.52,5.64,0.02,0.0,1.76,0.0,0.99,-1.0
380, PERFUME,-0.18,-0.18,0.03,1.05,-0.13,-1.03,-0.47,0.0,0.38,-0.73,-1.2,0.0,-1.17,-0.12
381, DESODORANTE,-1.75,0.36,-4.13,-1.64,0.67,-0.32,0.6,0.49,-0.34,-0.71,0.55,-0.7,-0.26,-0.62
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,1.9,0.0,0.0,-2.85,-0.06,0.0,0.0,0.0,0.0,0.0,-0.55
383, SABONETE,1.25,-0.72,-1.5,3.12,0.4,3.0,1.19,-1.18,0.82,0.83,0.25,1.79,-2.11,0.39
384, PAPEL HIGIÊNICO,-0.94,-0.69,-0.51,-1.19,0.45,-1.1,0.22,-0.24,-0.55,0.56,-0.82,0.89,-0.82,-0.2
385, ARTIGOS DE MAQUIAGEM,1.54,1.6,0.81,0.18,4.56,2.17,2.37,6.46,-0.51,3.55,1.52,2.24,4.88,2.46
386, DESPESAS PESSOAIS,0.49,0.09,0.15,0.68,0.7,0.37,0.53,0.03,0.44,-0.01,0.27,0.24,0.33,0.42
387, SERVIÇOS PESSOAIS,0.28,0.68,0.21,0.75,0.9,0.37,0.6,0.03,0.53,0.5,0.54,0.31,0.5,0.57
388, SERVIÇOS PESSOAIS,0.28,0.68,0.21,0.75,0.9,0.37,0.6,0.03,0.53,0.5,0.54,0.31,0.5,0.57
389, COSTUREIRA,0.0,0.0,-0.33,1.93,0.0,0.0,-2.29,-1.86,1.66,1.95,0.0,0.0,0.0,0.16
390, MANICURE,-1.14,0.92,-0.65,0.39,2.29,-0.53,-0.33,0.89,-0.31,1.37,1.03,-0.04,0.52,0.62
391, CABELEIREIRO,0.0,0.97,-0.52,1.46,1.79,-0.08,1.76,-1.39,0.85,0.1,0.62,-0.27,0.53,0.73
392, EMPREGADO DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1
394, DESPACHANTE,0.0,3.95,-0.43,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38
395, SERVIÇO BANCÁRIO,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FOTOGRAFIA",0.81,-0.67,0.03,0.56,0.4,0.36,0.43,0.03,0.26,-0.62,-0.37,0.08,-0.15,0.18
398, RECREAÇÃO,1.04,-1.18,0.02,0.69,0.45,0.57,0.63,0.31,0.26,-0.86,-0.57,0.15,-0.25,0.18
399, CINEMA,0.47,-1.57,-1.15,-0.33,1.5,0.18,1.48,0.0,-0.28,-1.17,-2.45,-2.86,0.0,0.3
400, CD E DVD,0.0,0.0,-0.11,-1.88,-2.87,0.26,-0.56,-0.55,1.82,-0.54,0.0,0.0,-0.53,-1.15
401, INGRESSO PARA JOGO,0.0,0.0,0.0,-2.67,0.0,0.0,-2.89,0.0,0.0,0.0,0.0,0.0,0.0,-1.56
402, CLUBE,1.37,-0.98,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
403, INSTRUMENTO MUSICAL,-0.22,-1.78,0.0,0.0,-1.45,0.0,0.0,0.0,0.0,0.0,0.0,-0.57,-0.85,-1.07
404, TRATAMENTO DE ANIMAIS,-0.29,-0.49,0.74,-1.68,-1.37,1.81,0.58,-2.02,0.93,-2.38,0.21,-0.08,1.38,-0.81
405, BICICLETA,1.81,0.0,1.23,0.07,-0.48,-1.53,0.49,1.74,2.75,-3.03,1.2,0.38,-0.47,0.22
406, ALIMENTO PARA ANIMAIS,1.88,-1.73,-0.39,-1.23,1.02,0.18,4.57,-0.41,-1.4,-0.25,-0.81,0.48,-0.09,0.28
407, BRINQUEDO,-0.95,-0.96,0.34,2.52,1.18,0.64,1.13,2.7,1.17,-0.44,0.57,1.93,-2.46,0.65
408, LOCAÇÃO DE DVD,0.0,-0.16,-0.15,-0.14,-0.49,0.0,-0.13,-0.12,-0.11,-0.09,-0.1,-0.08,0.0,-0.21
409, BOATE E DANCETERIA,-4.1,-2.65,-1.09,2.35,2.74,0.0,-0.52,-0.42,0.0,-1.76,0.0,0.0,-0.51,0.07
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.0,0.0,0.0,0.0,0.0,0.0,1.34
412, HOTEL,-0.87,1.88,-2.09,1.57,-0.54,2.35,-0.29,-1.59,-0.16,-0.74,-1.65,-2.2,0.3,-0.29
413, EXCURSÃO,3.7,-3.11,1.03,3.69,2.53,-0.88,0.34,0.39,0.0,-1.41,-2.93,1.25,2.64,1.41
414, FUMO,-0.01,0.49,-0.01,0.18,0.3,-0.36,-0.24,-0.49,0.49,0.31,-0.01,-0.2,-0.01,0.18
415, CIGARRO,-0.01,0.49,-0.01,0.18,0.3,-0.36,-0.24,-0.49,0.49,0.31,-0.01,-0.2,-0.01,0.18
416, FOTOGRAFIA E FILMAGEM,0.75,-0.46,0.95,-0.24,-0.14,-0.48,-0.55,-0.32,-1.42,0.0,0.03,-0.24,3.98,-0.02
417, MÁQUINA FOTOGRÁFICA,-1.43,-0.83,-2.13,-0.56,-0.14,-2.22,-0.55,-0.54,-0.18,0.0,2.48,-0.53,-0.52,-0.46
418, REVELAÇÃO E CÓPIA,2.48,0.0,3.29,0.0,0.0,0.18,0.0,0.0,-1.99,0.0,-1.11,0.13,7.96,0.68
419, EDUCAÇÃO,-0.01,0.11,0.21,-0.05,0.01,0.11,-0.02,0.11,0.01,-0.1,-0.07,0.31,-0.03,0.03
420," CURSOS, LEITURA E PAPELARIA",-0.01,0.11,0.21,-0.05,0.01,0.11,-0.02,0.11,0.01,-0.1,-0.07,0.31,-0.03,0.03
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427, PÓS-GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,0.0,0.36,0.06,-0.19,-0.36,-0.08,-0.07,0.21,-0.04,-0.01,-0.01,0.94,0.1,-0.05
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.09
430, ASSINATURA DE JORNAL,0.57,1.43,0.28,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,-0.27,-0.03,0.08,-0.66,-1.66,-0.29,-0.23,0.44,-0.08,-0.11,-0.04,-1.33,0.27,-0.5
433, PAPELARIA,-0.12,0.82,2.15,-0.39,0.74,1.58,-0.14,0.97,0.21,-1.01,-0.69,2.07,-0.32,0.55
434, CADERNO,1.08,3.81,2.62,-1.05,-1.24,2.2,-0.6,0.7,1.4,-1.45,2.42,3.18,-0.41,0.63
435, FOTOCÓPIA,0.0,0.0,0.0,0.85,0.0,0.0,3.21,-0.89,-0.34,0.0,0.0,0.0,0.0,0.3
436, ARTIGOS DE PAPELARIA,-1.07,-1.37,2.35,-0.7,2.13,1.33,-0.86,2.99,-0.27,-0.76,-1.95,1.1,-0.22,0.52
437, CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438, CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439, CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440, CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441, CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442, ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443, COMUNICAÇÃO,0.45,0.32,0.42,0.07,-0.18,0.23,-0.13,-0.17,0.05,0.64,0.41,0.1,0.28,0.15
444, COMUNICAÇÃO,0.45,0.32,0.42,0.07,-0.18,0.23,-0.13,-0.17,0.05,0.64,0.41,0.1,0.28,0.15
445, COMUNICAÇÃO,0.45,0.32,0.42,0.07,-0.18,0.23,-0.13,-0.17,0.05,0.64,0.41,0.1,0.28,0.15
446, CORREIO,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.3
447, TELEFONE FIXO,-0.31,-0.63,-0.24,-0.33,-0.57,-1.9,-1.2,-0.53,-1.03,-0.39,0.25,-1.11,-0.7,-0.55
448, TELEFONE PÚBLICO,0.0,0.0,0.68,0.0,-0.28,0.0,0.0,-2.86,0.0,0.0,0.0,0.0,0.0,-0.13
449, TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,-1.17,-1.61,0.21,-2.96,-0.61,-3.63,-3.03,-3.84,-1.52,2.05,-3.21,-3.68,-2.24,-1.26
452, TELEFONE COM INTERNET - PACOTE,2.82,2.82,2.82,2.82,0.0,2.82,2.82,2.82,2.82,2.82,2.82,2.82,2.82,1.81
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
