Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - OUTUBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
365, PSICÓLOGO,0.0,0.33,0.0,3.32,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.93
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.2,-0.02,0.36,-0.02,-0.25,-0.11,0.48,-0.09,0.18,0.32,-0.21,0.06,-0.19,0.03
367, EXAME DE LABORATÓRIO,-0.22,-0.48,0.72,0.03,0.0,-0.24,0.28,0.21,0.14,-2.3,-0.16,0.38,-1.71,-0.15
368, HOSPITALIZAÇÃO E CIRURGIA,0.48,0.04,0.29,1.5,-0.34,0.1,1.32,0.0,0.29,0.62,-0.32,0.0,0.0,0.06
369, EXAME DE IMAGEM,0.0,0.24,0.0,-1.25,0.42,0.0,0.0,-0.42,-0.01,0.47,0.0,0.0,0.28,0.09
370, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
371, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
372, CUIDADOS PESSOAIS,0.63,0.74,0.24,-0.06,0.02,-0.55,0.1,0.41,-0.31,0.02,0.42,0.08,0.3,0.16
373, HIGIENE PESSOAL,0.63,0.74,0.24,-0.06,0.02,-0.55,0.1,0.41,-0.31,0.02,0.42,0.08,0.3,0.16
374, PRODUTO PARA CABELO,-1.11,1.26,1.11,-2.15,0.84,-0.56,1.43,-0.08,-1.77,0.49,-0.03,0.97,-0.31,0.22
375, FRALDA DESCARTÁVEL,0.0,0.83,0.31,1.36,0.0,-2.1,1.96,0.0,1.72,1.54,0.9,0.0,1.0,0.84
376, PRODUTO PARA BARBA,0.0,-1.33,0.0,0.0,0.0,0.0,4.59,0.0,0.0,0.0,0.0,-0.65,0.0,0.44
377, PRODUTO PARA PELE,2.41,2.39,-0.48,2.14,1.28,-0.67,-0.32,0.76,-0.06,2.5,0.42,-0.02,-0.02,1.07
378, PRODUTO PARA HIGIENE BUCAL,0.17,-1.84,-0.51,-2.08,-1.51,-0.31,-1.74,0.37,0.24,-1.2,-1.26,-0.33,0.31,-0.95
379, PRODUTO PARA UNHA,4.28,-3.05,2.52,-1.53,-0.43,0.0,3.24,-0.03,4.32,0.0,-0.27,0.0,-4.13,0.84
380, PERFUME,-0.03,1.19,-0.04,-0.06,0.41,-0.09,-0.32,1.1,-0.69,-0.93,0.77,0.78,1.04,0.14
381, DESODORANTE,1.41,0.19,1.36,1.81,0.29,-1.21,-1.46,-0.49,-2.19,-2.12,-1.86,-2.52,-0.46,-0.13
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,-3.23,0.0,0.0,-1.69,1.37,0.0,0.0,0.0,0.0,0.0,-1.36
383, SABONETE,-0.03,0.33,0.22,-2.28,-0.01,-0.77,1.8,-2.21,-1.01,0.44,0.59,-0.16,1.96,-0.04
384, PAPEL HIGIÊNICO,2.26,1.31,0.37,0.22,-0.76,0.89,0.77,1.85,3.5,1.09,1.39,-0.29,0.72,0.7
385, ARTIGOS DE MAQUIAGEM,-0.68,1.49,0.31,4.76,-4.0,-3.09,-0.61,-6.26,0.52,-3.53,1.34,-2.05,-3.65,-1.35
386, DESPESAS PESSOAIS,0.56,0.94,0.08,0.55,0.16,0.28,0.01,-0.25,0.36,0.49,0.51,0.12,0.42,0.32
387, SERVIÇOS PESSOAIS,0.64,0.63,0.37,0.53,-0.22,0.33,0.32,0.43,0.59,-0.05,0.69,0.32,0.49,0.24
388, SERVIÇOS PESSOAIS,0.64,0.63,0.37,0.53,-0.22,0.33,0.32,0.43,0.59,-0.05,0.69,0.32,0.49,0.24
389, COSTUREIRA,0.0,0.0,0.68,3.35,0.0,0.0,0.0,2.96,0.32,-0.5,0.0,0.0,0.0,0.9
390, MANICURE,-0.76,0.68,0.52,0.0,-0.64,-0.11,0.17,-0.17,0.31,-0.08,0.86,-0.2,-0.17,-0.12
391, CABELEIREIRO,1.77,0.76,-0.24,0.48,-2.68,-0.59,-0.07,0.18,0.99,-2.01,1.3,-0.2,0.37,-0.53
392, EMPREGADO DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.39,1.06
394, DESPACHANTE,0.0,3.96,-0.7,0.0,-3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.89
395, SERVIÇO BANCÁRIO,0.32,0.32,0.32,0.38,0.32,0.32,0.38,0.38,0.38,0.32,0.38,0.38,0.38,0.33
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.72,0.72
397," RECREAÇÃO, FUMO E FOTOGRAFIA",0.43,1.34,-0.45,0.59,0.75,0.17,-0.51,-1.33,-0.09,1.14,0.09,-0.28,0.21,0.45
398, RECREAÇÃO,0.74,0.69,-0.31,1.12,-0.04,0.45,-0.18,-0.29,0.28,0.86,0.53,-0.02,0.5,0.28
399, CINEMA,3.14,1.29,0.29,0.66,-1.18,0.0,0.25,0.0,1.33,1.19,-0.68,-2.76,-0.77,0.34
400, CD E DVD,0.0,0.0,-2.09,3.28,3.02,-1.94,0.46,0.47,0.04,0.48,0.0,0.0,0.49,1.3
401, INGRESSO PARA JOGO,0.0,0.0,0.0,2.44,0.0,0.0,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.26
402, CLUBE,0.27,1.02,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.32
403, INSTRUMENTO MUSICAL,-1.69,-4.16,0.0,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,1.9,-2.15,-1.28
404, TRATAMENTO DE ANIMAIS,1.42,0.26,0.19,0.72,0.13,-0.91,0.96,1.36,0.08,0.05,0.97,-0.2,0.97,0.35
405, BICICLETA,1.32,0.0,-2.19,0.61,-0.38,-0.91,-0.47,-3.3,-1.43,3.55,-1.21,1.52,-1.01,-0.36
406, ALIMENTO PARA ANIMAIS,-2.93,2.57,0.25,-0.55,-1.41,-1.02,-1.37,-2.04,0.52,0.2,0.42,0.66,1.78,-0.49
407, BRINQUEDO,-0.51,0.88,0.65,2.69,-0.26,-0.12,-1.24,0.04,1.5,0.46,1.52,1.06,2.01,0.22
408, LOCAÇÃO DE DVD,1.61,1.95,1.96,1.97,1.9,2.33,1.98,1.99,2.0,2.01,2.02,2.03,0.0,1.91
409, BOATE E DANCETERIA,2.45,2.21,0.47,4.81,1.19,-1.58,0.87,-0.9,0.0,2.42,-2.41,-0.49,0.87,1.4
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.27
412, HOTEL,-3.37,-0.2,-0.92,-0.15,-0.47,2.73,-0.12,0.34,-0.51,-1.14,1.49,0.29,-1.36,-0.63
413, EXCURSÃO,2.7,-2.4,-1.97,-2.14,0.64,2.05,0.56,-1.0,0.0,3.65,3.55,-1.48,3.55,0.98
414, FUMO,-0.81,2.81,-0.81,-1.2,2.53,-0.85,-1.83,-3.42,-1.53,2.36,-0.84,-1.36,-0.81,0.87
415, CIGARRO,-0.81,2.81,-0.81,-1.2,2.53,-0.85,-1.83,-3.42,-1.53,2.36,-0.84,-1.36,-0.81,0.87
416, FOTOGRAFIA E FILMAGEM,1.93,2.07,-0.35,0.27,1.32,0.58,1.3,0.79,1.7,0.0,0.51,1.04,0.63,1.0
417, MÁQUINA FOTOGRÁFICA,3.46,3.81,-0.66,1.31,1.32,2.35,1.3,1.33,1.0,0.0,-0.73,1.34,1.35,1.29
418, REVELAÇÃO E CÓPIA,0.75,0.0,-0.11,-0.48,0.0,-0.08,0.0,0.0,2.03,0.0,1.09,0.66,0.0,0.53
419, EDUCAÇÃO,0.0,0.26,-0.15,0.0,0.05,0.15,0.14,-0.04,0.02,0.12,0.3,0.63,-0.2,0.06
420," CURSOS, LEITURA E PAPELARIA",0.0,0.26,-0.15,0.0,0.05,0.15,0.14,-0.04,0.02,0.12,0.3,0.63,-0.2,0.06
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427, PÓS-GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,0.09,0.21,-0.11,-0.2,-0.12,0.03,-0.17,0.13,0.23,0.15,0.2,3.57,-0.34,0.07
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.97,0.0,0.27
430, ASSINATURA DE JORNAL,0.57,1.42,0.2,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.63
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,0.16,-1.07,-0.54,-0.68,-0.55,0.11,-0.55,0.27,0.47,1.22,0.74,-1.04,-0.89,-0.17
433, PAPELARIA,-0.23,2.78,-1.41,0.29,1.16,1.89,1.58,-0.66,-0.06,1.13,2.77,1.26,-1.43,0.65
434, CADERNO,0.69,3.45,-0.75,-0.07,1.8,2.39,1.06,-2.3,0.32,0.86,3.66,-0.56,-3.16,0.99
435, FOTOCÓPIA,0.0,0.0,2.06,-1.44,0.0,0.0,1.21,0.6,-2.12,0.0,0.0,0.0,0.0,-0.09
436, ARTIGOS DE PAPELARIA,-0.96,2.29,-2.54,1.49,0.71,1.69,2.49,-0.45,0.76,1.28,2.42,2.93,0.66,0.51
437, CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438, CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439, CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440, CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441, CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442, ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443, COMUNICAÇÃO,0.37,0.49,0.5,-0.04,0.27,0.64,0.9,-0.01,0.6,0.48,0.33,0.74,0.68,0.4
444, COMUNICAÇÃO,0.37,0.49,0.5,-0.04,0.27,0.64,0.9,-0.01,0.6,0.48,0.33,0.74,0.68,0.4
445, COMUNICAÇÃO,0.37,0.49,0.5,-0.04,0.27,0.64,0.9,-0.01,0.6,0.48,0.33,0.74,0.68,0.4
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.67,0.0,0.0,-0.19
449, TELEFONE CELULAR,1.41,1.57,1.21,0.0,1.12,1.57,1.75,0.0,1.12,1.75,1.57,1.75,1.57,1.22
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,-3.5,-4.05,0.56,-0.48,-1.38,-0.67,0.3,-0.21,2.3,-1.53,-2.17,2.1,0.33,-0.68
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
