Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - DEZEMBRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
368, HOSPITALIZAÇÃO E CIRURGIA,2.58,0.29,-0.28,0.0,0.52,0.2,-0.17,0.0,0.41,0.0,0.0,0.0,0.0,0.36
369, EXAME DE IMAGEM,0.3,-0.19,-0.7,0.61,-1.16,0.0,0.39,0.1,0.19,0.16,0.0,-0.36,0.21,-0.26
370, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
371, PLANO DE SAÚDE,1.07,1.01,1.05,1.07,1.07,1.07,1.07,1.07,1.04,1.07,1.07,1.05,1.04,1.06
372, CUIDADOS PESSOAIS,0.44,0.37,0.33,-0.69,-0.59,0.09,-0.88,0.29,0.11,0.21,0.15,0.21,-1.31,-0.13
373, HIGIENE PESSOAL,0.44,0.37,0.33,-0.69,-0.59,0.09,-0.88,0.29,0.11,0.21,0.15,0.21,-1.31,-0.13
374, PRODUTO PARA CABELO,-0.3,-0.82,-1.1,1.3,-0.48,-1.71,-0.74,0.0,-2.03,1.3,0.23,-1.26,0.02,-0.44
375, FRALDA DESCARTÁVEL,0.0,3.91,1.64,-1.47,0.0,-2.14,-0.65,0.0,3.23,3.8,0.3,0.0,-3.19,1.43
376, PRODUTO PARA BARBA,0.0,4.34,0.0,0.0,0.0,0.0,-3.08,0.0,0.0,0.0,0.0,-0.12,0.0,1.43
377, PRODUTO PARA PELE,0.66,1.07,0.99,-1.33,-0.1,0.93,-2.49,1.63,-0.53,0.44,0.56,2.68,-0.3,0.24
378, PRODUTO PARA HIGIENE BUCAL,-2.11,1.27,-0.75,-0.89,-0.83,-1.75,-3.18,0.32,2.74,-1.07,1.03,-0.39,-0.86,-0.66
379, PRODUTO PARA UNHA,2.54,-2.78,2.89,-5.04,-3.74,0.0,-4.0,-5.22,-3.47,0.0,-1.21,0.0,4.46,-1.81
380, PERFUME,0.24,-0.03,0.46,-0.09,-0.35,1.15,-0.07,0.21,0.56,-0.44,0.13,0.0,-2.95,-0.02
381, DESODORANTE,0.55,1.82,0.37,-2.93,-3.53,-1.78,-3.59,2.0,-0.02,-0.98,-0.6,-0.77,-1.07,-1.22
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,2.54,0.0,0.0,2.45,0.1,0.0,0.0,0.0,0.0,0.0,1.82
383, SABONETE,4.82,-2.2,-0.56,-3.89,-0.17,-0.54,-0.73,0.28,-1.15,-0.29,-0.72,2.17,-0.26,-0.15
384, PAPEL HIGIÊNICO,-0.71,0.71,0.38,-1.25,1.41,0.86,0.65,1.81,-0.72,1.94,0.7,-1.82,-0.95,0.63
385, ARTIGOS DE MAQUIAGEM,1.87,0.61,-0.53,0.01,-1.97,0.12,0.26,0.42,1.81,-1.17,-0.17,-0.23,0.56,-0.24
386, DESPESAS PESSOAIS,0.88,0.15,0.38,0.38,0.33,0.28,0.56,0.37,0.35,0.45,0.45,0.46,0.18,0.42
387, SERVIÇOS PESSOAIS,0.98,0.47,0.38,0.47,0.46,0.57,1.21,0.46,0.54,0.75,0.54,0.36,0.26,0.57
388, SERVIÇOS PESSOAIS,0.98,0.47,0.38,0.47,0.46,0.57,1.21,0.46,0.54,0.75,0.54,0.36,0.26,0.57
389, COSTUREIRA,0.0,0.0,0.21,-0.47,0.0,0.0,-2.18,1.34,0.78,-1.85,0.0,0.0,0.0,-0.44
390, MANICURE,4.94,0.0,0.02,0.0,-0.72,3.03,5.88,0.53,0.77,-0.47,1.95,0.0,0.75,0.99
391, CABELEIREIRO,1.81,0.44,0.28,0.71,1.82,0.02,1.79,0.29,0.77,2.27,0.47,0.01,-0.8,1.17
392, EMPREGADO DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.72,0.22
394, DESPACHANTE,0.0,2.41,-1.44,0.0,-4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.19
395, SERVIÇO BANCÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FOTOGRAFIA",0.71,-0.26,0.4,0.21,0.12,-0.41,-0.51,0.22,-0.04,0.1,0.26,0.67,-0.04,0.16
398, RECREAÇÃO,0.93,-0.45,0.58,0.3,0.19,-0.5,-0.65,0.34,-0.11,0.13,0.22,0.86,-0.05,0.23
399, CINEMA,0.41,1.6,1.16,0.22,0.59,0.35,0.0,0.0,0.0,0.0,-1.56,4.85,2.06,0.55
400, CD E DVD,0.0,0.0,2.49,-0.04,-2.78,-1.46,-0.47,-0.46,-0.55,-0.48,0.0,0.0,-1.47,-0.97
401, INGRESSO PARA JOGO,0.0,0.0,0.0,-3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.76
402, CLUBE,0.15,0.0,0.26,0.0,-0.55,0.0,0.0,0.0,0.0,-3.16,0.68,0.0,0.33,-0.58
403, INSTRUMENTO MUSICAL,-0.7,-3.26,0.0,0.0,-0.59,0.0,0.0,0.0,0.0,0.0,0.0,1.35,-1.33,-0.99
404, TRATAMENTO DE ANIMAIS,0.71,1.22,1.5,2.97,1.17,-0.52,0.67,0.0,-0.8,2.71,0.52,0.31,0.11,1.15
405, BICICLETA,-0.37,0.0,0.14,-0.34,-2.3,1.08,0.35,0.87,-1.01,2.61,0.77,-0.01,2.31,-0.31
406, ALIMENTO PARA ANIMAIS,-0.23,0.05,0.9,-0.53,0.35,0.75,-0.52,-0.37,-0.23,0.88,1.05,-0.62,-0.61,0.22
407, BRINQUEDO,1.21,-0.29,0.93,-1.01,-0.38,0.27,-2.5,-0.87,-2.58,1.72,-0.75,-1.3,-2.38,-0.24
408, LOCAÇÃO DE DVD,0.0,0.4,0.41,0.39,1.19,0.0,0.38,0.42,0.37,0.43,0.36,0.44,0.0,0.56
409, BOATE E DANCETERIA,0.0,-3.13,-1.33,0.0,1.96,0.0,-0.26,1.74,0.0,-1.81,0.0,-0.81,-0.26,-0.09
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,-0.3
412, HOTEL,1.61,-1.61,-0.11,0.86,-1.04,-3.37,-3.59,1.98,2.59,-1.98,-0.27,2.48,0.72,-0.47
413, EXCURSÃO,2.29,0.74,1.12,3.89,2.81,0.11,2.12,2.91,0.0,2.42,2.75,2.63,2.25,2.02
414, FUMO,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.01
415, CIGARRO,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.01
416, FOTOGRAFIA E FILMAGEM,-1.02,2.76,-0.83,-1.4,-0.75,-1.59,-0.8,-0.25,-0.01,-0.42,2.82,-0.2,-0.36,-0.2
417, MÁQUINA FOTOGRÁFICA,-2.11,4.24,-2.07,-0.79,-0.75,-3.17,-0.8,-0.03,-1.41,0.0,-1.78,-0.78,-0.81,-0.66
418, REVELAÇÃO E CÓPIA,-0.19,0.95,0.07,-1.85,0.0,-1.02,0.0,-0.59,0.65,-0.78,5.03,0.55,0.0,0.55
419, EDUCAÇÃO,0.07,0.31,0.13,0.18,0.02,0.13,0.58,0.24,0.25,0.35,0.22,0.07,0.17,0.15
420," CURSOS, LEITURA E PAPELARIA",0.07,0.31,0.13,0.18,0.02,0.13,0.58,0.24,0.25,0.35,0.22,0.07,0.17,0.15
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427, PÓS-GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,0.73,0.81,0.94,1.28,1.0,1.31,5.41,1.38,1.45,0.75,0.68,0.92,1.5,1.11
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.83,0.0,16.04,0.0,0.0,0.0,0.0,0.0,0.0,0.93
430, ASSINATURA DE JORNAL,0.57,0.76,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.74
431, REVISTA,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
432, LIVRO,1.45,1.2,0.91,2.06,1.21,2.88,1.55,1.74,1.84,1.14,1.05,3.54,2.22,1.52
433, PAPELARIA,-1.04,2.54,0.28,0.83,-1.25,-0.56,1.25,0.98,1.11,3.0,1.43,-0.89,0.39,0.37
434, CADERNO,-1.13,1.35,0.16,1.06,-1.76,-0.69,2.8,-1.23,2.54,2.59,0.56,-2.52,2.45,0.16
435, FOTOCÓPIA,0.0,0.0,-0.79,1.74,0.0,0.0,0.02,3.3,0.85,0.0,0.0,0.0,0.0,0.94
436, ARTIGOS DE PAPELARIA,-0.96,3.45,0.58,0.19,-0.91,-0.51,-0.44,0.65,0.31,3.23,1.79,0.57,-2.0,0.43
437, CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438, CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439, CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440, CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441, CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442, ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443, COMUNICAÇÃO,-0.12,-0.06,-0.1,0.11,-0.11,-0.23,-0.27,-0.09,-0.24,-0.06,-0.06,-0.15,-0.09,-0.11
444, COMUNICAÇÃO,-0.12,-0.06,-0.1,0.11,-0.11,-0.23,-0.27,-0.09,-0.24,-0.06,-0.06,-0.15,-0.09,-0.11
445, COMUNICAÇÃO,-0.12,-0.06,-0.1,0.11,-0.11,-0.23,-0.27,-0.09,-0.24,-0.06,-0.06,-0.15,-0.09,-0.11
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,-0.18,-0.37,-0.13,-0.19,-0.33,-1.12,-0.7,-0.31,-0.6,-0.22,0.15,-0.65,-0.4,-0.32
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449, TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,-3.4,0.67,-1.02,1.96,-0.81,-1.17,-2.66,-0.29,-1.91,0.14,-2.47,-0.22,0.07,-0.88
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
