Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - ABRIL DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
367, EXAME DE LABORATÓRIO,-2.18,1.19,0.67,-0.14,0.0,0.11,0.0,0.2,0.04,0.08,-0.39,1.31,2.1,0.15
368, HOSPITALIZAÇÃO E CIRURGIA,-0.7,0.01,0.19,0.62,1.25,0.54,0.0,0.0,0.0,0.48,0.32,0.13,0.0,0.58
369, EXAME DE IMAGEM,0.1,1.28,0.6,-4.29,1.5,0.0,0.13,0.46,0.52,0.62,-0.16,2.8,2.67,0.59
370, PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.07
371, PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.07
372, CUIDADOS PESSOAIS,0.46,0.07,-0.07,-0.11,-0.03,0.05,-0.68,0.73,0.3,0.17,-0.21,1.13,0.24,0.07
373, HIGIENE PESSOAL,0.46,0.07,-0.07,-0.11,-0.03,0.05,-0.68,0.73,0.3,0.17,-0.21,1.13,0.24,0.07
374, PRODUTO PARA CABELO,-0.22,0.91,0.13,0.11,-0.12,-1.08,-2.02,0.66,1.44,0.54,0.81,3.28,0.71,0.2
375, FRALDA DESCARTÁVEL,0.0,-1.39,-1.94,0.21,0.0,0.78,4.34,0.0,0.34,1.06,-2.93,0.0,1.44,-0.3
376, PRODUTO PARA BARBA,0.0,-0.38,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,1.51,0.0,0.19
377, PRODUTO PARA PELE,1.35,1.9,1.34,3.18,-0.21,0.72,-0.21,0.59,0.79,1.93,-0.32,2.62,1.5,0.91
378, PRODUTO PARA HIGIENE BUCAL,-0.39,-0.96,-1.83,1.1,1.04,2.55,1.24,0.64,-0.11,0.37,1.43,0.81,3.81,0.32
379, PRODUTO PARA UNHAS,0.3,4.09,0.63,0.82,-0.5,0.0,1.67,-0.55,-0.98,0.0,-0.12,0.0,-1.62,0.44
380, PERFUME,0.52,-1.0,0.09,-0.53,-0.18,-0.64,-1.4,1.1,0.14,-0.23,-0.35,0.43,0.04,-0.17
381, DESODORANTE,0.37,1.22,-1.84,-1.64,1.62,-0.11,-0.42,-0.4,-2.28,0.14,0.4,3.51,0.14,0.03
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,-2.71,0.0,0.0,3.12,1.93,0.0,0.0,0.0,0.0,0.0,0.88
383, SABONETE,1.64,2.09,0.6,0.33,1.89,5.47,-1.68,0.07,5.1,-0.1,0.16,0.56,0.38,1.36
384, PAPEL HIGIÊNICO,0.86,-0.81,-0.68,-2.33,-1.33,-1.11,-0.22,-0.19,-0.29,-1.44,-0.84,-0.51,-4.56,-0.87
385, ARTIGO DE MAQUIAGEM,-0.76,-1.45,-0.01,-0.72,-1.08,-4.27,-0.53,-0.87,-2.33,-1.29,-0.74,-1.1,-1.09,-1.1
386, DESPESAS PESSOAIS,-0.22,-0.08,0.27,0.14,0.2,0.46,-0.13,0.25,-0.16,-0.13,0.07,0.51,0.6,0.09
387, SERVIÇOS PESSOAIS,0.42,0.31,0.57,0.16,0.25,0.43,0.03,0.95,-0.12,0.07,0.18,0.78,0.59,0.31
388, SERVIÇOS PESSOAIS,0.42,0.31,0.57,0.16,0.25,0.43,0.03,0.95,-0.12,0.07,0.18,0.78,0.59,0.31
389, COSTUREIRA,0.0,0.0,-0.76,0.39,0.0,0.0,0.0,0.67,1.07,1.21,0.0,0.0,0.0,0.23
390, MANICURE,1.51,-1.17,-0.62,-0.6,-0.21,1.46,0.0,0.49,-1.58,-2.25,0.08,0.0,0.38,-0.21
391, CABELEIREIRO,-0.51,-0.2,1.3,-0.69,-1.2,-0.51,-1.33,2.2,-1.88,-1.04,-1.04,2.08,0.61,-0.51
392, EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,1.04
394, DESPACHANTE,0.0,0.67,-0.05,0.0,2.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75
395, SERVIÇO BANCÁRIO,0.65,0.65,0.65,0.72,0.65,0.65,0.72,0.72,0.72,0.65,0.72,0.72,0.72,0.67
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.72,0.72
397," RECREAÇÃO, FUMO E FILMES",-1.2,-0.57,-0.26,0.12,0.12,0.51,-0.38,-0.84,-0.24,-0.35,-0.18,-0.02,0.63,-0.27
398, RECREAÇÃO,-1.58,-0.85,-0.42,0.1,0.18,0.65,-0.51,-1.32,-0.37,-0.49,-0.32,-0.03,0.77,-0.4
399, CINEMA,0.39,1.17,0.87,0.87,0.31,0.0,2.13,0.0,0.0,-5.14,0.48,-0.9,0.53,0.15
400, CD E DVD,0.0,0.0,0.98,0.48,-2.37,1.42,0.29,0.28,0.41,2.41,0.0,0.0,0.3,-0.23
401, INGRESSO PARA JOGO,0.0,0.0,0.0,0.64,0.0,0.0,-0.51,0.0,-6.43,0.0,0.0,0.0,0.0,-2.84
402, CLUBE,-0.95,0.0,0.18,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.11
403, INSTRUMENTO MUSICAL,-1.67,-0.62,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.05,-0.36,-0.59
404, TRATAMENTO DE ANIMAIS,-0.23,1.33,0.66,0.67,-1.28,1.33,-2.53,-2.84,0.17,0.54,1.05,1.43,3.6,-0.31
405, BICICLETA,-3.02,0.0,2.44,1.44,0.12,1.24,0.25,1.08,-0.68,0.85,-2.36,1.84,0.48,0.36
406, ALIMENTO  PARA ANIMAIS,-0.2,-0.03,0.64,0.04,-1.38,0.22,0.34,0.48,0.22,-0.75,1.68,0.66,0.97,-0.35
407, BRINQUEDO,-0.35,-1.62,0.04,3.78,0.03,1.44,-2.78,0.35,-1.26,0.6,-2.31,-1.32,0.74,-0.2
408, LOCAÇÃO DE DVD,0.0,2.69,0.26,0.27,1.33,0.0,0.28,-2.41,0.29,1.0,-0.73,0.3,0.0,0.69
409, BOATE E DANCETERIA,-2.35,-3.02,-1.59,0.0,2.48,-1.01,-0.7,-4.06,0.0,0.0,2.59,-0.16,-0.69,-0.1
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412, HOTEL,-1.75,1.43,1.11,-1.87,1.24,1.7,3.07,-3.57,-0.09,-0.96,-1.02,-0.99,-0.26,0.12
413, EXCURSÃO,-4.0,-4.69,-3.26,-3.67,0.52,-0.06,-3.04,-7.62,0.0,-1.66,-2.95,0.65,-3.0,-2.91
414, FUMO,0.06,0.0,0.06,0.05,0.14,0.05,0.0,0.05,0.05,0.14,0.06,0.0,0.06,0.09
415, CIGARRO,0.06,0.0,0.06,0.05,0.14,0.05,0.0,0.05,0.05,0.14,0.06,0.0,0.06,0.09
416, FOTOGRAFIA E FILMAGEM,2.14,1.23,0.73,1.05,-2.74,0.29,0.53,-0.31,0.75,0.9,0.02,0.0,2.63,-0.24
417, MÁQUINA FOTOGRÁFICA,1.28,1.64,1.7,0.54,-2.74,1.45,0.53,0.55,0.98,0.0,0.0,0.56,0.52,-0.85
418, REVELAÇÃO E CÓPIA,2.86,0.74,0.0,1.44,0.0,-0.16,0.0,-1.61,0.64,1.68,0.03,-0.71,4.6,0.79
419, EDUCAÇÃO,0.11,0.17,0.05,0.0,-0.01,-0.04,-0.02,0.47,-0.08,-0.19,0.11,0.09,0.11,0.03
420," CURSOS, LEITURA E PAPELARIA",0.11,0.17,0.05,0.0,-0.01,-0.04,-0.02,0.47,-0.08,-0.19,0.11,0.09,0.11,0.03
421, CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.01
422, CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.01
425, ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.02
426, ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.01
427, PÓS - GRADUAÇÃO ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428, LEITURA,0.1,0.26,0.02,0.38,0.38,-0.1,0.19,0.61,0.44,0.1,0.04,0.21,0.29,0.23
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430, ASSINATURA DE JORNAL,0.57,1.11,-0.24,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.52
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,0.23,-0.11,0.22,0.4,1.76,-0.34,0.61,1.31,0.87,0.78,0.13,0.64,0.75,0.75
433, PAPELARIA,1.68,1.81,0.54,-0.42,-0.93,-0.3,-0.3,1.82,-1.58,-2.17,1.02,0.77,0.77,-0.01
434, CADERNO,2.32,3.95,1.31,3.09,-2.98,2.23,1.62,1.31,-1.33,-1.67,0.75,0.77,1.19,0.24
435, FOTOCÓPIA,0.0,0.0,4.23,-3.93,0.0,0.0,-1.02,0.26,-2.05,0.0,0.0,0.0,0.0,-0.41
436, ARTIGO DE PAPELARIA,1.18,0.14,-0.58,-0.29,0.54,-1.28,-2.74,3.76,-1.5,-2.46,1.14,0.78,0.27,-0.13
437, CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438, CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439, CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440, CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441, CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442, ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443, COMUNICAÇÃO,-0.02,1.03,0.53,2.7,-0.2,2.49,1.14,2.28,0.29,0.92,1.54,0.03,0.79,0.55
444, COMUNICAÇÃO,-0.02,1.03,0.53,2.7,-0.2,2.49,1.14,2.28,0.29,0.92,1.54,0.03,0.79,0.55
445, COMUNICAÇÃO,-0.02,1.03,0.53,2.7,-0.2,2.49,1.14,2.28,0.29,0.92,1.54,0.03,0.79,0.55
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,-2.18,-1.41,-2.4,-1.81,-1.8,-0.81,-0.84,-0.94,-1.83,-1.76,-1.86,-1.56,-1.53,-1.81
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.68
449, TELEFONE CELULAR,0.0,2.04,1.29,5.32,0.99,4.76,2.42,5.06,1.29,2.42,4.26,0.0,1.2,1.9
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,-1.14,-0.41,2.24,-2.14,-1.18,-3.78,-3.34,-2.18,-3.82,-1.92,-2.69,-3.55,1.66,-1.17
452, TELEFONE COM INTERNET - PACOTE,3.24,3.24,3.24,3.24,0.0,3.24,3.24,3.24,3.24,3.24,3.24,3.24,3.24,2.06
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
