Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - JANEIRO DE 2017",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
367,EXAME DE LABORATÓRIO,1.41,0.41,-0.32,2.93,0.0,1.72,-0.04,0.49,1.3,-0.41,2.5,-0.25,0.26,0.81
368,HOSPITALIZAÇÃO E CIRURGIA,-1.75,2.79,0.46,0.13,-0.3,0.87,0.39,0.17,1.89,-1.92,0.81,2.59,0.0,0.04
369,EXAME DE IMAGEM,1.18,1.04,0.95,-0.03,0.38,0.0,0.61,1.2,0.64,0.33,0.41,0.0,0.83,0.63
370,PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.06,1.05,1.07
371,PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.06,1.07,1.07,1.06,1.05,1.07
372,CUIDADOS PESSOAIS,-0.56,-0.13,0.52,-0.18,0.21,-0.29,0.94,-0.49,-0.39,0.58,0.29,0.74,-0.44,0.1
373,HIGIENE PESSOAL,-0.56,-0.13,0.52,-0.18,0.21,-0.29,0.94,-0.49,-0.39,0.58,0.29,0.74,-0.44,0.1
374,PRODUTO PARA CABELO,0.8,4.78,0.48,0.49,2.01,2.66,0.4,2.48,1.59,1.99,0.96,-0.16,0.42,1.74
375,FRALDA DESCARTÁVEL,0.0,4.47,2.14,-0.39,0.0,-4.13,2.08,0.0,-0.77,-2.22,1.57,0.0,3.2,0.84
376,PRODUTO PARA BARBA,0.0,-1.76,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,0.0,2.32,0.0,0.13
377,PRODUTO PARA PELE,1.63,-0.62,0.66,-0.32,0.4,1.75,0.2,0.19,0.3,1.92,-0.86,0.37,-0.07,0.58
378,PRODUTO PARA HIGIENE BUCAL,4.11,-1.74,2.44,-0.66,-0.91,-0.91,0.64,0.05,-0.41,1.75,0.43,3.7,1.13,0.58
379,PRODUTO PARA UNHAS,-2.01,4.17,1.04,-3.46,-0.45,0.0,0.13,4.23,-1.19,0.0,0.9,0.0,-0.96,-0.05
380,PERFUME,-1.76,-2.04,-0.54,-0.29,-0.14,-0.7,1.55,-1.4,-0.65,-0.31,0.26,0.7,-1.53,-0.47
381,DESODORANTE,0.84,2.84,3.06,-0.17,2.29,2.59,-2.12,-3.29,2.35,2.29,0.4,-0.95,-0.4,1.42
382,ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,0.59,0.0,0.0,2.2,-0.03,0.0,0.0,0.0,0.0,0.0,1.07
383,SABONETE,0.73,2.32,2.22,1.48,0.67,-0.99,0.08,3.13,1.2,3.02,1.28,2.03,-2.05,1.27
384,PAPEL HIGIÊNICO,0.66,0.22,0.37,3.18,0.85,-0.43,-0.33,0.55,0.33,-0.69,-1.08,2.35,1.47,0.5
385,ARTIGO DE MAQUIAGEM,-9.7,-8.88,-2.62,-2.72,-3.21,-3.97,1.88,-9.82,-8.68,-3.43,1.2,-3.66,-3.94,-4.5
386,DESPESAS PESSOAIS,0.36,0.51,0.47,0.24,0.42,0.45,0.04,0.19,0.73,0.84,0.52,0.46,0.43,0.45
387,SERVIÇOS PESSOAIS,0.64,0.26,0.24,-0.16,0.18,0.34,0.14,-0.11,0.74,0.79,0.64,0.16,0.51,0.33
388,SERVIÇOS PESSOAIS,0.64,0.26,0.24,-0.16,0.18,0.34,0.14,-0.11,0.74,0.79,0.64,0.16,0.51,0.33
389,COSTUREIRA,0.0,0.0,-1.37,4.72,0.0,0.0,-1.87,-0.43,3.23,0.38,0.0,0.0,0.0,0.47
390,MANICURE,1.51,0.0,-0.18,-0.02,-0.31,0.0,-2.57,-0.48,-1.24,1.05,0.71,-0.22,1.05,-0.04
391,CABELEIREIRO,0.83,-0.74,-0.55,-2.51,-1.21,-0.55,0.61,-1.6,1.83,1.69,0.96,-1.12,0.7,-0.29
392,EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393,DEPILAÇÃO,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.19,-0.33
394,DESPACHANTE,0.0,0.93,0.74,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
395,SERVIÇO BANCÁRIO,0.48,0.48,0.48,0.55,0.48,0.48,0.55,0.55,0.55,0.48,0.55,0.55,0.55,0.5
396,CONSELHO DE CLASSE,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.72,0.72
397," RECREAÇÃO, FUMO E FILMES",-0.08,0.82,0.89,1.0,0.8,0.7,-0.12,0.66,0.71,0.89,0.26,1.05,0.2,0.65
398,RECREAÇÃO,-0.08,1.17,1.36,1.21,1.17,0.88,-0.16,0.97,0.94,1.1,0.34,1.35,0.28,0.9
399,CINEMA,1.34,1.01,1.44,0.6,0.47,3.48,-1.04,0.0,0.75,4.32,3.39,2.33,0.85,1.18
400,CD E DVD,0.0,0.0,-1.1,-3.08,0.83,-2.6,-0.02,2.28,1.28,0.81,0.0,0.0,-0.03,0.07
401,INGRESSO PARA JOGO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,CLUBE,0.44,1.63,1.68,0.0,2.01,0.0,0.0,0.0,0.0,3.16,0.0,0.0,11.09,1.91
403,INSTRUMENTO MUSICAL,-0.36,-3.02,0.0,0.0,-2.65,0.0,0.0,0.0,0.0,0.0,0.0,-1.81,-1.5,-1.96
404,TRATAMENTO DE ANIMAIS,-1.76,1.99,0.38,2.91,2.78,-0.27,0.67,0.68,3.84,1.58,1.34,-0.47,-0.7,1.6
405,BICICLETA,-2.69,0.0,1.69,1.71,3.25,-1.38,0.07,0.08,1.08,-0.41,0.06,-0.36,-2.73,1.01
406,ALIMENTO  PARA ANIMAIS,1.43,1.02,0.41,1.39,1.15,2.26,0.77,0.59,0.67,1.95,1.53,2.5,0.71,1.17
407,BRINQUEDO,0.67,2.84,-1.02,-2.43,-0.11,2.88,-1.45,-1.09,1.42,1.44,-0.78,2.27,2.09,0.2
408,LOCAÇÃO DE DVD,-0.59,0.0,0.0,0.32,2.25,0.24,0.33,0.0,0.34,0.0,-1.13,2.15,0.0,0.61
409,BOATE E DANCETERIA,-0.54,0.12,0.18,0.0,0.79,0.0,0.12,0.0,0.0,-0.07,0.0,0.82,0.13,0.28
410,JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.12
412,HOTEL,2.09,-1.64,-0.66,4.77,1.09,-1.34,-0.35,15.96,2.06,-0.93,-0.32,3.73,0.68,1.04
413,EXCURSÃO,-1.14,5.18,6.1,3.78,7.61,3.32,1.8,2.69,0.0,2.89,0.06,0.63,-11.34,2.51
414,FUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,CIGARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,FOTOGRAFIA E FILMAGEM,-1.16,1.02,-3.57,3.78,-0.33,1.94,0.58,1.51,0.56,1.12,0.97,-0.16,-1.43,-0.17
417,MÁQUINA FOTOGRÁFICA,-0.51,0.78,1.09,0.57,-0.33,-0.02,0.58,0.56,1.83,2.94,0.32,-0.93,0.59,0.24
418,REVELAÇÃO E CÓPIA,-1.68,1.31,-6.96,6.25,0.0,2.71,0.0,2.94,0.0,-0.36,1.3,0.83,-3.23,-0.83
419,EDUCAÇÃO,0.49,0.18,0.1,0.33,0.34,0.46,-0.19,0.36,0.41,0.22,0.25,0.38,0.11,0.29
420," CURSOS, LEITURA E PAPELARIA",0.49,0.18,0.1,0.33,0.34,0.46,-0.19,0.36,0.41,0.22,0.25,0.38,0.11,0.29
421,CURSOS REGULARES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,CRECHE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,EDUCAÇÃO INFANTIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,ENSINO MÉDIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,ENSINO SUPERIOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,PÓS - GRADUAÇÃO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,LEITURA,2.3,1.95,1.34,2.01,2.81,1.95,1.27,2.31,3.31,2.24,1.57,1.04,3.03,2.27
429,JORNAL DIÁRIO,2.99,0.0,0.0,0.0,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.18
430,ASSINATURA DE JORNAL,0.0,0.98,-1.79,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,-0.05
431,REVISTA,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09,3.09
432,LIVRO,0.83,2.14,1.12,1.59,1.56,1.82,0.07,1.43,3.53,3.41,1.61,0.32,2.92,1.67
433,PAPELARIA,1.16,-0.5,-0.61,1.75,1.27,2.43,-2.72,0.96,0.41,-0.12,0.67,2.85,-1.26,0.39
434,CADERNO,-0.42,-0.23,-1.53,-2.97,3.53,1.13,-3.1,-0.39,0.09,0.45,0.01,1.84,-3.65,0.29
435,FOTOCÓPIA,0.0,0.0,-0.28,2.59,0.0,0.0,-0.78,0.72,1.68,0.0,0.0,0.0,0.0,0.91
436,ARTIGO DE PAPELARIA,2.36,-0.7,-0.19,3.99,-0.35,2.94,-2.95,2.37,-0.05,-0.47,0.96,3.86,1.63,0.39
437,CURSOS DIVERSOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,CURSO PREPARATÓRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,CURSO TÉCNICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,CURSO DE IDIOMA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,CURSO DE INFORMÁTICA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
442,ATIVIDADES FÍSICAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,COMUNICAÇÃO,0.51,0.86,0.57,0.88,0.7,0.9,0.83,0.22,0.32,0.42,0.74,0.63,0.8,0.63
444,COMUNICAÇÃO,0.51,0.86,0.57,0.88,0.7,0.9,0.83,0.22,0.32,0.42,0.74,0.63,0.8,0.63
445,COMUNICAÇÃO,0.51,0.86,0.57,0.88,0.7,0.9,0.83,0.22,0.32,0.42,0.74,0.63,0.8,0.63
446,CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448,TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,-1.06,-0.01,-0.02,0.31
449,TELEFONE CELULAR,2.12,2.12,1.56,0.48,2.01,2.05,1.82,0.48,0.81,1.6,2.09,1.51,1.86,1.67
450,ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451,APARELHO TELEFÔNICO,-5.89,1.19,-0.11,8.64,4.97,2.34,-0.86,0.03,-0.19,-1.09,1.79,1.72,0.28,1.35
452,TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
