Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - AGOSTO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
362, APARELHO ORTODONTICO,0.0,-0.99,0.0,0.0,-0.13,0.0,0.0,0.0,0.0,-0.69,0.0,0.0,1.31,-0.45
363, ARTIGOS ORTOPÉDICOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25
364, FISIOTERAPEUTA,0.27,0.0,0.0,0.0,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
365, PSICÓLOGO,0.0,-0.63,-0.35,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.07
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.76,0.84,-0.11,0.43,0.4,0.02,1.21,-0.02,0.15,-0.07,0.77,1.22,0.05,0.36
367, EXAME DE LABORATÓRIO,1.36,0.72,-0.69,0.19,0.0,-1.94,1.56,0.11,0.1,-0.08,1.66,0.01,0.32,0.18
368, HOSPITALIZAÇÃO E CIRURGIA,0.88,0.44,-0.2,0.47,0.36,3.42,1.61,0.01,0.0,0.0,0.39,2.14,0.0,0.35
369, EXAME DE IMAGEM,0.0,2.85,0.97,0.63,0.63,0.0,-0.13,-0.17,0.52,-0.48,0.0,0.0,0.0,0.6
370, PLANO DE SAÚDE,1.08,1.01,1.05,1.07,1.08,1.07,1.07,1.08,1.03,1.08,1.07,1.05,1.04,1.07
371, PLANO DE SAÚDE,1.08,1.01,1.05,1.07,1.08,1.07,1.07,1.08,1.03,1.08,1.07,1.05,1.04,1.07
372, CUIDADOS PESSOAIS,-1.57,0.55,0.63,-0.36,-0.55,-0.51,-1.27,0.31,-0.88,-0.95,-0.98,0.25,-0.26,-0.49
373, HIGIENE PESSOAL,-1.57,0.55,0.63,-0.36,-0.55,-0.51,-1.27,0.31,-0.88,-0.95,-0.98,0.25,-0.26,-0.49
374, PRODUTO PARA CABELO,-3.84,-0.57,0.2,-1.72,-2.95,0.12,2.43,-1.94,-0.6,-0.48,-2.92,2.78,1.09,-1.45
375, FRALDA DESCARTÁVEL,0.0,0.8,-1.93,-1.31,0.0,1.27,-1.2,0.0,0.12,0.84,-1.32,0.0,-3.67,-0.55
376, PRODUTO PARA BARBA,0.0,0.04,0.0,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,0.0,0.38,0.0,-0.71
377, PRODUTO PARA PELE,0.02,0.53,1.87,-0.62,0.71,2.01,-1.42,0.46,1.17,1.02,1.56,1.98,1.3,0.78
378, PRODUTO PARA HIGIENE BUCAL,-2.26,-2.92,1.64,-1.79,0.07,-0.81,-1.52,-1.03,0.1,0.7,-0.68,-0.51,-0.84,-0.57
379, PRODUTO PARA UNHAS,-1.18,3.78,2.45,6.52,-1.75,0.0,1.66,-2.04,0.48,0.0,-1.26,0.0,3.52,0.47
380, PERFUME,-2.08,-0.91,0.1,-0.94,-1.06,-3.34,-3.4,0.79,-3.46,-3.95,-3.14,-0.81,-0.63,-1.66
381, DESODORANTE,-1.34,3.76,0.67,2.26,1.07,-3.36,3.6,1.4,1.61,-0.99,1.78,-1.72,-1.42,1.0
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,-5.26,0.0,0.0,-2.65,-0.93,0.0,0.0,0.0,0.0,0.0,-3.03
383, SABONETE,-2.2,1.24,0.52,1.0,-1.09,2.91,1.22,1.48,1.13,0.19,1.54,-2.81,-0.41,-0.07
384, PAPEL HIGIÊNICO,-3.25,2.33,-0.7,0.84,-0.58,-0.19,-0.74,-0.99,0.2,0.37,-0.48,-0.59,-2.32,-0.44
385, ARTIGO DE MAQUIAGEM,6.21,7.53,1.86,2.49,5.59,3.82,3.08,5.29,8.17,2.88,4.07,5.45,3.66,4.9
386, DESPESAS PESSOAIS,0.11,0.37,0.28,-0.05,0.36,0.3,0.55,0.53,0.45,0.01,0.32,0.43,0.48,0.29
387, SERVIÇOS PESSOAIS,0.46,0.43,0.61,0.13,0.61,0.65,0.77,0.87,0.55,0.64,0.51,0.56,0.56,0.56
388, SERVIÇOS PESSOAIS,0.46,0.43,0.61,0.13,0.61,0.65,0.77,0.87,0.55,0.64,0.51,0.56,0.56,0.56
389, COSTUREIRA,0.0,0.0,-0.81,-0.94,0.0,0.0,-0.71,-1.99,-0.39,-0.59,0.0,0.0,0.0,-0.8
390, MANICURE,0.0,-2.16,-1.39,-0.6,3.0,0.74,-0.01,0.5,0.0,-0.38,-0.26,0.85,-1.91,0.46
391, CABELEIREIRO,-0.16,0.27,1.46,-0.88,-0.07,1.17,1.83,2.0,0.45,1.16,0.05,0.3,0.66,0.42
392, EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.77,1.49
394, DESPACHANTE,0.0,1.67,-0.41,0.0,-0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.48
395, SERVIÇO BANCÁRIO,1.33,1.33,1.33,1.4,1.33,1.33,1.4,1.4,1.4,1.33,1.4,1.4,1.4,1.35
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FILMES",-0.44,0.29,-0.33,-0.39,-0.03,-0.54,0.19,-0.01,0.26,-0.73,-0.09,0.18,0.28,-0.15
398, RECREAÇÃO,-0.6,0.44,-0.53,-0.45,-0.04,-0.72,0.25,-0.1,0.32,-0.92,-0.25,0.22,0.33,-0.22
399, CINEMA,-0.34,-1.02,0.0,0.51,2.03,2.37,0.75,0.0,0.01,-2.82,-3.18,0.37,0.0,0.49
400, CD E DVD,0.0,0.0,-2.24,-0.54,-1.74,-0.05,-0.95,-0.94,1.37,-0.93,0.0,0.0,-0.92,-0.99
401, INGRESSO PARA JOGO,0.0,0.0,0.0,-3.08,0.0,0.0,-2.85,0.0,0.85,0.0,0.0,0.0,0.0,-1.3
402, CLUBE,1.98,0.36,-0.26,0.0,1.62,0.0,0.0,0.0,0.0,0.36,2.76,0.0,0.0,1.01
403, INSTRUMENTO MUSICAL,0.55,0.38,0.0,0.0,-2.71,0.0,0.0,0.0,0.0,0.0,0.0,-1.13,-0.89,-1.1
404, TRATAMENTO DE ANIMAIS,-2.01,1.06,-1.13,1.34,0.02,-0.02,0.38,-1.19,1.76,-0.24,0.61,0.65,0.84,-0.12
405, BICICLETA,1.29,0.0,-0.76,-1.74,0.3,0.61,0.24,-0.73,0.34,0.67,2.79,-0.91,1.42,0.18
406, ALIMENTO  PARA ANIMAIS,-2.62,-0.52,-0.47,1.03,0.72,-0.01,0.88,1.99,0.34,0.29,-1.26,0.67,-1.42,-0.15
407, BRINQUEDO,0.23,-1.16,0.61,-3.01,-1.14,-1.75,0.66,1.7,1.96,-1.6,1.9,-0.14,0.76,-0.46
408, LOCAÇÃO DE DVD,0.0,0.0,-0.68,-0.67,-2.56,0.32,-0.66,-0.65,-0.64,-0.63,-1.17,-0.62,0.0,-1.03
409, BOATE E DANCETERIA,2.86,2.22,-0.9,1.3,-1.37,-2.32,-0.02,-1.21,-1.72,0.94,0.0,-0.06,-0.01,0.0
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,0.0,0.0,0.0,0.0,1.94
412, HOTEL,-1.93,2.59,-2.86,-0.72,1.08,-1.98,1.81,-1.28,0.14,-1.88,-1.18,-1.42,1.6,-0.35
413, EXCURSÃO,-1.18,0.54,-0.52,-2.23,-0.28,-2.11,-1.52,-2.12,0.0,-2.86,-2.94,2.06,2.35,-1.01
414, FUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415, CIGARRO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416, FOTOGRAFIA E FILMAGEM,2.13,-0.65,1.91,-1.95,-0.15,1.17,-0.14,2.88,0.53,0.0,1.64,0.44,2.06,0.57
417, MÁQUINA FOTOGRÁFICA,1.92,-1.21,-0.52,0.5,-0.15,-0.71,-0.14,-0.13,1.68,0.0,-2.82,-0.12,-0.11,-0.11
418, REVELAÇÃO E CÓPIA,2.29,0.04,3.88,-3.71,0.0,1.88,0.0,7.63,0.0,0.0,3.89,1.18,4.03,1.71
419, EDUCAÇÃO,0.15,-0.59,-0.26,0.1,0.37,0.34,0.33,0.15,0.31,1.17,1.32,0.5,0.44,0.24
420," CURSOS, LEITURA E PAPELARIA",0.15,-0.59,-0.26,0.1,0.37,0.34,0.33,0.15,0.31,1.17,1.32,0.5,0.44,0.24
421, CURSOS REGULARES,0.02,-1.23,-0.41,0.02,0.13,-0.02,0.05,0.09,0.19,1.54,2.17,0.23,0.26,0.09
422, CRECHE,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.99
423, EDUCAÇÃO INFANTIL,0.07,0.0,0.0,0.0,-0.48,0.03,0.0,-0.22,0.06,0.37,1.19,0.36,0.01,-0.06
424, ENSINO FUNDAMENTAL,0.0,0.5,-0.18,0.0,0.38,-0.09,0.0,1.34,0.09,0.38,0.99,0.0,0.01,0.25
425, ENSINO MÉDIO,0.08,1.73,-0.21,0.0,0.69,0.06,0.11,0.84,0.26,1.25,0.0,0.0,0.0,0.44
426, ENSINO SUPERIOR,0.0,-2.65,-0.63,0.01,-0.37,0.0,0.01,-2.83,0.28,1.68,3.49,0.16,0.57,-0.25
427, PÓS - GRADUAÇÃO ,0.0,1.73,-0.43,0.26,2.22,-0.08,0.46,0.34,0.0,3.96,0.0,1.17,0.0,1.23
428, LEITURA,0.04,0.47,-0.16,0.06,-0.14,-0.16,-0.09,0.1,0.09,0.3,0.27,-0.03,0.04,0.02
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430, ASSINATURA DE JORNAL,0.57,1.88,-0.24,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,0.0,0.65
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,-0.05,0.04,-0.51,-0.09,-0.65,-0.57,-0.29,0.2,0.19,2.52,1.01,0.48,0.11,-0.11
433, PAPELARIA,-0.72,1.77,-0.89,0.24,1.6,-0.37,-0.16,-0.35,1.56,0.8,-2.02,3.06,1.68,0.49
434, CADERNO,1.89,0.32,0.42,-2.15,2.85,2.87,-0.17,-2.88,2.7,2.75,-0.53,2.53,1.85,1.39
435, FOTOCÓPIA,0.0,0.0,-1.26,-2.4,0.0,0.0,-1.08,0.46,-0.54,0.0,0.0,0.0,0.0,-0.95
436, ARTIGO DE PAPELARIA,-2.71,2.89,-1.55,3.23,0.74,-1.62,0.24,1.21,1.93,-0.28,-2.6,3.56,1.47,0.06
437, CURSOS DIVERSOS,0.96,0.11,0.63,0.5,1.2,1.91,1.2,0.81,0.3,0.37,0.05,0.83,0.38,0.87
438, CURSO PREPARATÓRIO,0.83,1.54,2.87,0.0,0.14,3.73,0.0,0.98,-1.17,1.13,0.0,0.0,0.0,0.79
439, CURSO TÉCNICO,0.0,-0.27,-0.49,0.0,0.0,0.78,0.0,2.22,0.0,-1.26,0.0,2.9,0.0,0.07
440, CURSO DE IDIOMA,1.94,0.34,-0.25,-3.35,2.23,0.35,3.28,-1.58,-0.42,-2.96,0.0,1.51,0.89,1.14
441, CURSO DE INFORMÁTICA,0.0,-1.19,-2.26,5.62,2.23,0.0,0.0,0.63,1.25,2.7,0.02,-0.05,0.0,1.15
442, ATIVIDADES FÍSICAS,-0.33,-0.63,1.06,1.78,0.22,1.71,2.41,1.47,3.2,2.08,0.18,0.15,0.37,0.77
443, COMUNICAÇÃO,-0.01,-1.19,-0.14,-2.17,-0.4,-1.91,-0.02,-2.02,0.0,0.08,-1.57,0.02,-2.99,-0.56
444, COMUNICAÇÃO,-0.01,-1.19,-0.14,-2.17,-0.4,-1.91,-0.02,-2.02,0.0,0.08,-1.57,0.02,-2.99,-0.56
445, COMUNICAÇÃO,-0.01,-1.19,-0.14,-2.17,-0.4,-1.91,-0.02,-2.02,0.0,0.08,-1.57,0.02,-2.99,-0.56
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,2.54,3.8,0.0,0.0,1.12
449, TELEFONE CELULAR,0.04,-2.89,0.0,-4.09,-1.43,-4.42,0.0,-4.09,0.0,0.0,-5.28,0.0,-7.03,-1.57
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,-1.1,-1.2,-2.05,0.33,-1.96,-1.31,-0.32,-0.85,0.02,-0.44,2.11,0.65,2.25,-0.95
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
