Unnamed: 0,"VARIAÇÕES MENSAIS POR GRUPOS, ITENS E SUBITENS - IPCA - MARÇO DE 2017 ",RJ,POA,BH,REC,SP,DF,BEL,FOR,SAL,CUR,GOI,VIT,CG,NACIONAL
365, PSICÓLOGO,2.26,-0.32,-0.29,-0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
366, SERVIÇOS LABORATORIAIS E HOSPITALARES,0.62,0.16,0.09,1.65,0.18,0.27,0.4,0.11,0.1,-0.02,1.52,0.18,0.16,0.28
367, EXAME DE LABORATÓRIO,0.58,0.48,0.15,2.25,0.0,0.42,0.53,0.34,0.02,-0.11,3.46,0.9,0.24,0.76
368, HOSPITALIZAÇÃO E CIRURGIA,0.55,0.29,0.05,0.0,0.12,0.0,0.4,-0.11,0.0,0.0,0.45,0.0,0.0,0.13
369, EXAME DE IMAGEM,0.8,-0.86,0.09,2.37,0.57,0.0,0.06,0.04,0.38,-0.07,0.47,0.1,0.4,0.34
370, PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.07
371, PLANO DE SAÚDE,1.07,1.05,1.06,1.07,1.07,1.07,1.07,1.07,1.05,1.07,1.07,1.05,1.05,1.07
372, CUIDADOS PESSOAIS,1.51,0.85,0.69,0.43,0.69,1.38,0.82,0.0,0.26,0.42,0.64,1.25,0.08,0.71
373, HIGIENE PESSOAL,1.51,0.85,0.69,0.43,0.69,1.38,0.82,0.0,0.26,0.42,0.64,1.25,0.08,0.71
374, PRODUTO PARA CABELO,1.85,0.58,-0.8,-1.02,1.42,-0.71,-1.07,-0.28,0.99,-1.82,0.01,0.81,1.52,0.4
375, FRALDA DESCARTÁVEL,0.0,1.74,1.52,2.35,0.0,3.13,-1.62,0.0,-1.85,0.7,-0.48,0.0,-1.81,0.71
376, PRODUTO PARA BARBA,0.0,0.77,0.0,0.0,0.0,0.0,-3.82,0.0,0.0,0.0,0.0,1.26,0.0,-0.43
377, PRODUTO PARA PELE,1.15,0.59,0.05,-0.62,0.82,1.06,-0.54,0.1,1.25,0.48,-0.32,1.44,0.91,0.54
378, PRODUTO PARA HIGIENE BUCAL,2.21,1.27,-0.51,-0.72,-1.1,0.34,0.35,1.17,-2.82,2.59,1.05,1.7,-9.19,-0.01
379, PRODUTO PARA UNHAS,6.02,1.43,2.44,0.64,0.86,0.0,1.44,1.15,-2.74,0.0,0.65,0.0,2.17,1.66
380, PERFUME,1.26,2.55,1.41,0.99,1.0,3.15,1.95,-0.42,1.29,1.54,1.61,0.99,2.29,1.31
381, DESODORANTE,1.91,0.57,0.89,0.09,0.7,0.81,-0.09,1.32,0.09,-1.35,0.64,0.7,-0.19,0.53
382, ABSORVENTE HIGIÊNICO,0.0,0.0,0.0,1.69,0.0,0.0,2.2,-0.18,0.0,0.0,0.0,0.0,0.0,1.39
383, SABONETE,1.41,1.22,1.48,-0.1,0.94,-4.09,2.67,1.27,-1.75,0.34,0.42,3.19,0.77,0.8
384, PAPEL HIGIÊNICO,0.78,-3.18,-0.32,0.81,-0.25,0.83,-2.43,-0.11,-1.09,-0.76,0.6,1.88,-2.35,-0.56
385, ARTIGO DE MAQUIAGEM,-0.15,-0.22,0.68,-0.17,-0.04,1.85,1.12,0.47,-1.9,-0.73,-0.87,0.0,0.49,-0.08
386, DESPESAS PESSOAIS,0.36,0.02,0.11,0.37,1.1,0.44,-0.08,0.46,0.31,0.32,0.54,-0.01,0.46,0.52
387, SERVIÇOS PESSOAIS,0.4,0.5,0.38,0.59,0.66,0.51,-0.28,0.84,0.28,0.34,0.74,0.45,0.61,0.5
388, SERVIÇOS PESSOAIS,0.4,0.5,0.38,0.59,0.66,0.51,-0.28,0.84,0.28,0.34,0.74,0.45,0.61,0.5
389, COSTUREIRA,0.0,0.0,1.87,1.25,0.0,0.0,1.87,-1.02,-1.98,0.92,0.0,0.0,0.0,0.79
390, MANICURE,-1.23,0.0,0.37,0.5,-0.08,0.0,-0.63,0.0,0.0,2.04,-0.69,0.19,2.47,-0.02
391, CABELEIREIRO,0.52,0.64,-0.17,0.71,1.68,0.62,-2.61,2.09,-0.19,-0.78,1.95,0.28,0.16,0.63
392, EMPREGADO  DOMÉSTICO,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
393, DEPILAÇÃO,0.0,0.0,-1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,-1.2
394, DESPACHANTE,0.0,0.0,0.08,0.0,-0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14
395, SERVIÇO BANCÁRIO,0.51,0.51,0.51,0.55,0.51,0.51,0.55,0.55,0.55,0.51,0.55,0.55,0.55,0.52
396, CONSELHO DE CLASSE,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.71,0.72
397," RECREAÇÃO, FUMO E FILMES",0.31,-0.58,-0.38,-0.05,1.76,0.27,0.24,-0.11,0.36,0.3,0.11,-0.9,0.04,0.57
398, RECREAÇÃO,0.13,-0.87,-1.02,-0.29,1.27,0.1,0.3,-0.63,0.22,-0.32,-0.42,-1.13,-0.19,0.16
399, CINEMA,-2.67,1.04,-2.54,-0.19,2.86,0.37,-1.06,0.0,4.87,5.42,3.23,3.67,0.89,1.09
400, CD E DVD,0.0,0.0,-0.28,-1.91,3.7,0.41,0.58,0.59,-0.26,3.53,0.0,0.0,0.6,1.58
401, INGRESSO PARA JOGO,0.0,0.0,0.0,-3.98,0.0,0.0,-1.44,0.0,-6.07,0.0,0.0,0.0,0.0,-4.09
402, CLUBE,-2.2,1.58,1.0,0.0,3.86,0.0,0.0,0.0,0.0,-0.52,0.0,0.0,0.0,1.6
403, INSTRUMENTO MUSICAL,-0.26,-0.78,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,-0.9,-0.15,-0.19
404, TRATAMENTO DE ANIMAIS,-0.21,-0.68,1.11,1.45,1.32,1.12,2.45,0.62,1.74,-0.6,-1.48,1.15,1.05,0.7
405, BICICLETA,1.6,0.0,-1.26,-3.16,2.5,1.85,0.25,0.26,2.11,-1.58,0.26,0.4,-2.85,0.56
406, ALIMENTO  PARA ANIMAIS,0.82,1.54,0.28,1.9,1.12,0.96,0.27,1.31,-0.6,-0.24,-0.04,0.13,-0.69,0.75
407, BRINQUEDO,-0.99,0.55,0.15,-1.62,1.82,-1.85,2.78,-1.13,-1.15,-1.62,0.99,-3.01,-0.8,0.45
408, LOCAÇÃO DE DVD,3.05,-2.62,0.22,0.23,0.32,1.69,0.24,0.0,0.25,-0.99,-0.27,0.26,0.0,0.22
409, BOATE E DANCETERIA,2.41,-6.06,-1.77,0.0,-1.88,0.0,-1.32,-3.02,0.0,-1.5,-4.93,3.34,-1.31,-2.1
410, JOGOS DE AZAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411, MOTEL,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.52
412, HOTEL,-3.18,2.31,-1.02,-0.12,1.48,0.41,-1.63,-5.45,0.57,1.47,0.0,-2.84,1.65,0.34
413, EXCURSÃO,1.74,-1.98,-3.96,-1.28,1.96,0.07,-1.9,-1.02,0.0,-2.59,-2.97,-3.96,-0.55,-0.67
414, FUMO,0.96,0.0,0.96,0.88,2.96,0.88,0.0,0.85,0.85,3.06,0.99,0.0,0.84,1.68
415, CIGARRO,0.96,0.0,0.96,0.88,2.96,0.88,0.0,0.85,0.85,3.06,0.99,0.0,0.84,1.68
416, FOTOGRAFIA E FILMAGEM,0.8,1.35,4.63,-0.95,1.26,0.12,0.32,0.77,0.1,-0.18,1.45,-0.56,0.16,1.29
417, MÁQUINA FOTOGRÁFICA,0.23,-0.37,2.24,0.31,1.26,0.42,0.32,0.3,-0.14,-1.07,-0.04,0.33,0.34,0.82
418, REVELAÇÃO E CÓPIA,1.28,3.51,6.53,-1.88,0.0,0.0,0.0,1.49,0.21,0.61,2.22,-1.66,0.0,2.1
419, EDUCAÇÃO,0.15,0.21,0.08,-0.08,2.04,0.24,0.19,5.34,0.18,0.58,0.26,0.18,0.57,0.95
420," CURSOS, LEITURA E PAPELARIA",0.15,0.21,0.08,-0.08,2.04,0.24,0.19,5.34,0.18,0.58,0.26,0.18,0.57,0.95
421, CURSOS REGULARES,0.0,0.23,0.01,0.0,2.52,0.01,0.0,8.26,-0.01,0.53,0.15,0.04,0.89,1.19
422, CRECHE,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36
423, EDUCAÇÃO INFANTIL,0.0,0.0,0.01,0.0,2.68,0.0,0.0,12.65,0.0,0.09,0.01,0.36,0.03,1.1
424, ENSINO FUNDAMENTAL,0.0,0.0,0.0,0.0,1.99,0.0,0.0,9.53,0.02,0.0,0.0,0.01,0.28,1.12
425, ENSINO MÉDIO,0.0,0.03,-0.29,0.0,2.47,0.0,0.0,10.42,0.0,0.36,0.53,0.0,0.65,1.38
426, ENSINO SUPERIOR,0.0,0.21,0.08,0.0,3.66,0.0,0.0,6.13,0.0,0.47,0.13,-0.02,1.57,1.51
427, PÓS - GRADUAÇÃO ,0.0,-0.01,0.0,0.0,-3.46,0.31,0.0,1.22,-0.17,2.42,0.0,0.16,0.49,-1.11
428, LEITURA,0.0,0.52,-0.04,0.62,0.14,0.27,-0.03,-0.44,0.81,-0.03,0.19,0.28,-0.37,0.16
429, JORNAL DIÁRIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430, ASSINATURA DE JORNAL,0.0,1.11,-1.6,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.0
431, REVISTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432, LIVRO,0.02,1.65,0.84,1.17,0.67,0.95,-0.09,-0.94,1.63,-0.2,0.7,1.0,-0.96,0.63
433, PAPELARIA,2.18,0.16,0.25,-1.83,2.99,1.06,1.89,1.26,0.99,0.74,1.26,0.85,-1.61,1.27
434, CADERNO,3.1,2.72,0.33,-1.69,3.13,3.56,3.22,3.82,-2.03,1.31,1.44,0.67,-2.33,1.89
435, FOTOCÓPIA,0.0,0.0,-1.69,-0.35,0.0,0.0,-0.93,1.22,-0.89,0.0,0.0,0.0,0.0,-0.6
436, ARTIGO DE PAPELARIA,1.48,-1.76,0.59,-2.73,2.9,0.12,1.16,-0.82,3.92,0.4,1.19,1.04,-0.76,1.09
437, CURSOS DIVERSOS,0.17,-0.03,0.37,0.0,0.88,0.56,0.0,-0.79,0.1,1.17,0.0,0.36,1.37,0.45
438, CURSO PREPARATÓRIO,0.0,-2.04,2.77,0.0,0.64,0.69,0.0,-1.39,0.59,-0.89,0.0,0.01,4.05,0.47
439, CURSO TÉCNICO,0.0,-0.01,0.0,0.0,-3.41,0.0,0.0,0.0,0.12,2.07,0.0,0.01,0.0,-0.95
440, CURSO DE IDIOMA,0.18,0.34,0.0,0.0,2.3,0.0,0.0,0.95,-0.58,0.0,0.0,1.03,0.72,0.95
441, CURSO DE INFORMÁTICA,0.0,1.17,2.67,0.0,1.4,0.0,0.0,-3.81,0.72,3.45,0.0,0.0,0.0,1.1
442, ATIVIDADES FÍSICAS,0.24,0.67,-2.92,0.0,0.2,0.87,0.0,0.0,-0.13,1.03,0.0,0.6,1.86,0.0
443, COMUNICAÇÃO,-0.82,-0.84,-0.82,-0.45,-0.56,-0.49,-0.66,-0.59,-0.55,-0.5,-0.32,-0.5,-0.62,-0.63
444, COMUNICAÇÃO,-0.82,-0.84,-0.82,-0.45,-0.56,-0.49,-0.66,-0.59,-0.55,-0.5,-0.32,-0.5,-0.62,-0.63
445, COMUNICAÇÃO,-0.82,-0.84,-0.82,-0.45,-0.56,-0.49,-0.66,-0.59,-0.55,-0.5,-0.32,-0.5,-0.62,-0.63
446, CORREIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447, TELEFONE FIXO,-2.89,-3.31,-2.49,-2.28,-1.83,-2.53,-2.09,-1.75,-2.27,-1.78,-1.5,-1.82,-2.49,-2.24
448, TELEFONE PÚBLICO,0.0,0.0,0.0,0.0,-0.47,0.0,0.0,0.0,0.0,-0.25,0.0,-0.08,-0.1,-0.22
449, TELEFONE CELULAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450, ACESSO À INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
451, APARELHO TELEFÔNICO,0.33,-0.95,-2.42,-0.61,-1.28,0.79,-3.79,-2.62,0.05,1.03,0.6,-2.4,-1.11,-1.14
452, TELEFONE COM INTERNET - PACOTE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453, TV POR ASSINATURA COM INTERNET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
